filename ,subjectNo ,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,PreIDconfidence ,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,include
ucsd_1,614,z8qappu7q4cxr,22,Male,Asian,Laptop/Computer,835223,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,no,90,no,60,one,1,Absent,, ,1,no
ucsd_1,614,z8qappu7q4cxr,22,Male,Asian,Laptop/Computer,835223,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,NO,90,yes,80,two,1,Present,, ,1,no
ucsd_1,789,2ld7wa1d30k,18,Female,Asian,Laptop/Computer,742541,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,60,yes,60,two,1,Present,, ,1,no
ucsd_1,789,2ld7wa1d30k,18,Female,Asian,Laptop/Computer,742541,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,70,yes,70,one,0,Present,, ,1,no
ucsd_1,892,r4er2qz62s9ejyvi,20,Female,Asian,Laptop/Computer,663777,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,90,yes,90,one,1,Present,, ,1,no
ucsd_1,892,r4er2qz62s9ejyvi,20,Female,Asian,Laptop/Computer,663777,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,80,yes,80,two,0,Present,, ,1,no
ucsd_1,903,drobx7xh83b7f1or,18,Male,Asian,Laptop/Computer,693209,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,60,no,60,two,1,Absent,, ,1,no
ucsd_1,903,drobx7xh83b7f1or,18,Male,Asian,Laptop/Computer,693209,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,60,yes,90,one,1,Present,, ,1,no
ucsd_1,908,a4lgt12zmlblnmi,20,Female,Asian,Laptop/Computer,661641,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,100,yes,90,one,1,Present,, ,1,no
ucsd_1,908,a4lgt12zmlblnmi,20,Female,Asian,Laptop/Computer,661641,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,100,no,100,two,1,Absent,, ,1,no
ucsd_1,916,63lfuhjzxeqm2t9,18,Female,Asian,Laptop/Computer,742821,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,100,no,80,one,0,Absent,, ,1,no
