filename ,subjectID,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,PreIDconfidence ,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,include
ucsd_2,12,lvomu7ge5x25u3di,21,Male,Other,Laptop/Computer,775029,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,80,yes,90,one,1,Present,, ,,yes
ucsd_2,13,hgzce5h2t9w1att9,21,Male,Asian,Laptop/Computer,721569,2,simultaneousShowup,graffiti,absent,graffiti_lineup_5,graffiti_lineup_innocentsuspect,graffiti_lineup_4,graffiti_lineup_2,graffiti_lineup_1,graffiti_lineup_3,,50,no,70,one,1,Absent,, ,,yes
ucsd_2,13,hgzce5h2t9w1att9,21,Male,Asian,Laptop/Computer,721569,1,simultaneousShowup,mugging,present,mugging_lineup_1,mugging_lineup_2,mugging_lineup_5,mugging_lineup_perpetrator,mugging_lineup_4,mugging_lineup_3,,70,yes,50,two,1,Present,, ,,yes
ucsd_2,14,f96mrtux1myxecdi,19,Male,Caucasian,Laptop/Computer,707215,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,90,no,100,one,1,Absent,, ,,yes
ucsd_2,14,f96mrtux1myxecdi,19,Male,Caucasian,Laptop/Computer,707215,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,100,no,80,two,0,Absent,, ,,yes
ucsd_2,15,wcqvfr1k9hg,20,Female,Asian,Laptop/Computer,1035006,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,There was no technical problem in the video. ,90,no,90,two,1,Absent,, ,,yes
ucsd_2,15,wcqvfr1k9hg,20,Female,Asian,Laptop/Computer,1035006,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,I didn't experience any technical problem while watching the video. ,80,yes,80,one,1,Present,, ,,yes
ucsd_2,16,m0j0zli6m1o,21,Female,Asian,Phone,902265,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,,80,no,80,two,0,Absent,, ,,yes
ucsd_2,16,m0j0zli6m1o,21,Female,Asian,Phone,902265,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,"I think there was a pause in the video. As soon as the man finished writing letters on the wall,  he stopped moving and looked like he was staring at he letters.",70,no,60,one,1,Absent,, ,,yes
ucsd_2,17,oc9x4uk4cvm42t9,22,Male,Filipino,Laptop/Computer,759489,1,simultaneousShowup,graffiti,present,graffiti_lineup_3,graffiti_lineup_perpetrator,graffiti_lineup_2,graffiti_lineup_1,graffiti_lineup_5,graffiti_lineup_4,,70,no,80,one,0,Absent,, ,,yes
ucsd_2,17,oc9x4uk4cvm42t9,22,Male,Filipino,Laptop/Computer,759489,2,simultaneousShowup,mugging,absent,mugging_lineup_2,mugging_lineup_3,mugging_lineup_5,mugging_lineup_1,mugging_lineup_4,mugging_lineup_innocentsuspect,,80,no,70,two,1,Absent,, ,,yes
ucsd_2,18,g0vko09m0ulbx1or,20,Female,Mexican-American,Laptop/Computer,776312,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,80,no,100,two,1,Absent,, ,,yes
ucsd_2,18,g0vko09m0ulbx1or,20,Female,Mexican-American,Laptop/Computer,776312,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,90,no,90,one,0,Absent,, ,,yes
ucsd_2,19,56zz0ek6zfg,18,Female,Asian,Laptop/Computer,792113,2,simultaneousShowup,graffiti,absent,graffiti_lineup_4,graffiti_lineup_innocentsuspect,graffiti_lineup_1,graffiti_lineup_3,graffiti_lineup_2,graffiti_lineup_5,none,50,no,70,one,1,Absent,, ,,yes
ucsd_2,19,56zz0ek6zfg,18,Female,Asian,Laptop/Computer,792113,1,simultaneousShowup,mugging,present,mugging_lineup_3,mugging_lineup_perpetrator,mugging_lineup_2,mugging_lineup_5,mugging_lineup_1,mugging_lineup_4,none,90,yes,80,two,1,Present,, ,,yes
ucsd_2,20,08qcpv8s0x561or,19,Male,Asian,Laptop/Computer,755264,1,simultaneousShowup,graffiti,absent,graffiti_lineup_3,graffiti_lineup_innocentsuspect,graffiti_lineup_5,graffiti_lineup_1,graffiti_lineup_4,graffiti_lineup_2,,80,no,60,one,1,Absent,, ,,yes
ucsd_2,20,08qcpv8s0x561or,19,Male,Asian,Laptop/Computer,755264,2,simultaneousShowup,mugging,present,mugging_lineup_3,mugging_lineup_1,mugging_lineup_2,mugging_lineup_4,mugging_lineup_perpetrator,mugging_lineup_5,,70,yes,70,two,1,Present,, ,,yes
ucsd_2,21,tjz4wxwe2a2fyldi,22,Male,Latino,Laptop/Computer,810280,1,simultaneousShowup,mugging,absent,mugging_lineup_5,mugging_lineup_2,mugging_lineup_4,mugging_lineup_innocentsuspect,mugging_lineup_3,mugging_lineup_1,,100,no,100,two,1,Absent,, ,,yes
ucsd_2,21,tjz4wxwe2a2fyldi,22,Male,Latino,Laptop/Computer,810280,2,simultaneousShowup,graffiti,present,graffiti_lineup_4,graffiti_lineup_2,graffiti_lineup_1,graffiti_lineup_5,graffiti_lineup_perpetrator,graffiti_lineup_3,,100,yes,100,one,1,Present,, ,,yes
ucsd_2,22,y8s3aiveep5e9udi,21,Male,Mexican-American,Laptop/Computer,809478,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,70,no,100,two,1,Absent,, ,,yes
ucsd_2,22,y8s3aiveep5e9udi,21,Male,Mexican-American,Laptop/Computer,809478,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,50,yes,50,one,1,Present,, ,,yes
ucsd_2,23,cwsms3u8xoj0dx6r,23,Male,Caucasian,Laptop/Computer,794984,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,100,no,100,one,1,Absent,, ,,yes
ucsd_2,23,cwsms3u8xoj0dx6r,23,Male,Caucasian,Laptop/Computer,794984,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,80,yes,100,two,1,Present,, ,,yes
ucsd_2,24,fbnfrutocug,20,Male,Asian,Laptop/Computer,1248352,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,NA,90,no,70,one,1,Absent,, ,,yes
ucsd_2,24,fbnfrutocug,20,Male,Asian,Laptop/Computer,1248352,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,NA,70,yes,40,two,1,Present,, ,,yes
ucsd_2,25,4wgdjkhf2b,18,Male,Other,Laptop/Computer,914518,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,, I think the only problem was that I could not hear what was happening.,50,no,100,two,1,Absent,, ,,yes
ucsd_2,25,4wgdjkhf2b,18,Male,Other,Laptop/Computer,914518,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,"I could hear anything,  but everything else is fine.",100,yes,80,one,1,Present,, ,,yes
ucsd_2,26,hw8n6azoedfxyldi,18,Female,African-American,Laptop/Computer,845253,2,simultaneousShowup,mugging,absent,mugging_lineup_4,mugging_lineup_1,mugging_lineup_2,mugging_lineup_3,mugging_lineup_5,mugging_lineup_innocentsuspect,n/a,70,no,80,two,1,Absent,, ,,yes
ucsd_2,26,hw8n6azoedfxyldi,18,Female,African-American,Laptop/Computer,845253,1,simultaneousShowup,graffiti,present,graffiti_lineup_perpetrator,graffiti_lineup_2,graffiti_lineup_5,graffiti_lineup_1,graffiti_lineup_4,graffiti_lineup_3,i) about 2/3 of the way in,70,no,60,one,0,Absent,, ,,yes
ucsd_2,27,7ghkeobrrqn,20,Female,Latino,Laptop/Computer,867624,2,simultaneousShowup,graffiti,absent,graffiti_lineup_1,graffiti_lineup_5,graffiti_lineup_innocentsuspect,graffiti_lineup_4,graffiti_lineup_3,graffiti_lineup_2,N/A,60,no,80,one,1,Absent,, ,,yes
ucsd_2,27,7ghkeobrrqn,20,Female,Latino,Laptop/Computer,867624,1,simultaneousShowup,mugging,present,mugging_lineup_4,mugging_lineup_1,mugging_lineup_2,mugging_lineup_3,mugging_lineup_perpetrator,mugging_lineup_5,N/A,90,yes,70,two,1,Present,, ,,yes
ucsd_2,28,zq6en31euxk,20,Female,Caucasian,Laptop/Computer,743168,1,simultaneousShowup,graffiti,absent,graffiti_lineup_1,graffiti_lineup_2,graffiti_lineup_4,graffiti_lineup_5,graffiti_lineup_3,graffiti_lineup_innocentsuspect,No,70,yes,60,one,0,Present,, ,,yes
ucsd_2,28,zq6en31euxk,20,Female,Caucasian,Laptop/Computer,743168,2,simultaneousShowup,mugging,present,mugging_lineup_perpetrator,mugging_lineup_2,mugging_lineup_4,mugging_lineup_1,mugging_lineup_5,mugging_lineup_3,no,80,yes,80,two,1,Present,, ,,yes
ucsd_2,29,bvej8ifwxnw,19,Female,Asian,Tablet,896188,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,70,no,70,one,1,Absent,, ,,yes
ucsd_2,29,bvej8ifwxnw,19,Female,Asian,Tablet,896188,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,70,yes,70,two,1,Present,, ,,yes
ucsd_2,30,vonrarn1f9zr529,20,Male,Caucasian,Laptop/Computer,864474,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,60,no,60,two,1,Absent,, ,,yes
ucsd_2,30,vonrarn1f9zr529,20,Male,Caucasian,Laptop/Computer,864474,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,80,no,30,one,0,Absent,, ,,yes
