filename ,subjectID,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,SeenBefore,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,SeenCheck,include
ucsd_5,12,an0rrcghws5,20,Female,Latino,Laptop/Computer,956175,2,control,graffiti,absent,graffiti_control_38,graffiti_innocent_37,graffiti_control_2,graffiti_control_21,graffiti_control_24,graffiti_control_12,No technical issue,No,notpresent,70,one,1,Absent,, ,,,yes
ucsd_5,12,an0rrcghws5,20,Female,Latino,Laptop/Computer,956175,1,control,mugging,present,mugging_control_10,mugging_control_26,mugging_control_31,mugging_control_33,mugging_control_37,mugging_control_perpetrator,There was no technical issue.,No,face1,60,two,0,Present,, ,,,yes
ucsd_5,13,cc4tzgyq5kazxdrv8q2fvquxr,21,Female,Asian,Laptop/Computer,994094,2,simultaneousShowup,mugging,absent,mugging_lineup_34,mugging_lineup_35,mugging_lineup_16,mugging_lineup_40,mugging_lineup_37,mugging_innocent_20,There were no technical errors while watching,No,yes,90,two,0,Present,, ,,,yes
ucsd_5,13,cc4tzgyq5kazxdrv8q2fvquxr,21,Female,Asian,Laptop/Computer,994094,1,simultaneousShowup,graffiti,present,graffiti_lineup_32,graffiti_lineup_1,graffiti_lineup_39,graffiti_lineup_26,graffiti_lineup_29,graffiti_lineup_perpetrator,"There were no apparent technical issue while viewing. There were however a couple parts where the man made it seem like the video was lagging. First time occurred prior to tagging the wall and he stared into the camera for a couple seconds. The second time was before he started painting ""SNX"" on the wall. ",No,yes,80,one,1,Present,, ,,,yes
ucsd_5,14,q6wnyyp3wgz1m5w4r2uvdkj4i,20,Male,Mexican-American,Laptop/Computer,808974,2,simultaneousShowup,graffiti,absent,graffiti_lineup_37,graffiti_lineup_40,graffiti_lineup_26,graffiti_lineup_29,graffiti_lineup_24,graffiti_innocent_11,There were no technical problems.,No,no,70,one,1,Absent,, ,,,yes
ucsd_5,14,q6wnyyp3wgz1m5w4r2uvdkj4i,20,Male,Mexican-American,Laptop/Computer,808974,1,simultaneousShowup,mugging,present,mugging_lineup_39,mugging_lineup_30,mugging_lineup_26,mugging_lineup_34,mugging_lineup_33,mugging_lineup_perpetrator,There were no technical issues.,No,yes,80,two,1,Present,, ,,,yes
ucsd_5,15,rcfpbfvejn,Decline,Male,African-American,Laptop/Computer,876836,2,simultaneousShowup,mugging,present,mugging_lineup_35,mugging_lineup_perpetrator,mugging_lineup_30,mugging_lineup_4,mugging_lineup_39,mugging_lineup_33,,No,yes,100,two,1,Present,, ,,,yes
ucsd_5,15,rcfpbfvejn,Decline,Male,African-American,Laptop/Computer,876836,1,simultaneousShowup,graffiti,absent,graffiti_lineup_25,graffiti_lineup_31,graffiti_lineup_37,graffiti_lineup_35,graffiti_lineup_2,graffiti_innocent_8,,No,yes,60,one,0,Present,, ,,,yes
ucsd_5,16,pxn2mwl38pztxvk6jhltk2o6r,21,Male,Caucasian,Laptop/Computer,859672,2,simultaneousShowup,graffiti,present,graffiti_lineup_23,graffiti_lineup_perpetrator,graffiti_lineup_37,graffiti_lineup_3,graffiti_lineup_21,graffiti_lineup_18,,No,yes,100,one,1,Present,, ,,,yes
ucsd_5,16,pxn2mwl38pztxvk6jhltk2o6r,21,Male,Caucasian,Laptop/Computer,859672,1,simultaneousShowup,mugging,absent,mugging_lineup_40,mugging_lineup_39,mugging_lineup_29,mugging_lineup_1,mugging_innocent_4,mugging_lineup_35,,No,no,70,two,1,Absent,, ,,,yes
ucsd_5,17,n7k15mq8hfnxmlpbm2xirudi,19,Female,Asian,Laptop/Computer,640325,2,showup,graffiti,absent,graffiti_innocent_5,,,,,,,No,no,40,one,1,Absent,, ,,,yes
ucsd_5,17,n7k15mq8hfnxmlpbm2xirudi,19,Female,Asian,Laptop/Computer,640325,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,No,yes,90,two,1,Present,, ,,,yes
ucsd_5,18,23dm226eqk0xqr147qdsiqkt9,19,Male,Caucasian,Laptop/Computer,862426,2,control,mugging,absent,mugging_control_27,mugging_control_36,mugging_innocent_19,mugging_control_10,mugging_control_22,mugging_control_25,,No,face5,30,two,filler,Present,, ,,,yes
ucsd_5,18,23dm226eqk0xqr147qdsiqkt9,19,Male,Caucasian,Laptop/Computer,862426,1,control,graffiti,present,graffiti_control_24,graffiti_control_40,graffiti_control_31,graffiti_control_18,graffiti_control_12,graffiti_control_perpetrator,,No,face4,40,one,0,Present,, ,,,yes
ucsd_5,19,ulv061atd2ee20luxjvpldi,20,Female,Asian,Laptop/Computer,763585,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,,No,yes,60,two,1,Present,, ,,,yes
ucsd_5,19,ulv061atd2ee20luxjvpldi,20,Female,Asian,Laptop/Computer,763585,1,showup,graffiti,absent,graffiti_innocent_38,,,,,,,No,no,60,one,1,Absent,, ,,,yes
ucsd_5,20,a0k1clfxlyh,21,Male,Latino,Laptop/Computer,772918,2,showup,mugging,absent,mugging_innocent_11,,,,,,,No,yes,70,two,0,Present,, ,,,yes
ucsd_5,20,a0k1clfxlyh,21,Male,Latino,Laptop/Computer,772918,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,No,yes,90,one,1,Present,, ,,,yes
ucsd_5,21,qfzdcq7roqfcrf6r,21,Male,Asian,Laptop/Computer,777943,2,control,mugging,present,mugging_control_7,mugging_control_6,mugging_control_35,mugging_control_5,mugging_control_4,mugging_control_perpetrator,,No,face5,80,two,1,Present,, ,,,yes
ucsd_5,21,qfzdcq7roqfcrf6r,21,Male,Asian,Laptop/Computer,777943,1,control,graffiti,absent,graffiti_control_1,graffiti_innocent_13,graffiti_control_11,graffiti_control_34,graffiti_control_8,graffiti_control_23,,No,notpresent,80,one,1,Absent,, ,,,yes
ucsd_5,22,durup069oyargsohmmauac3di,18,Female,Asian,Laptop/Computer,701820,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,No,yes,70,one,1,Present,, ,,,yes
ucsd_5,22,durup069oyargsohmmauac3di,18,Female,Asian,Laptop/Computer,701820,1,showup,mugging,absent,mugging_innocent_32,,,,,,,No,no,60,two,1,Absent,, ,,,yes
ucsd_5,23,bn5egg6aimyjzv9uwzzpbke29,18,Male,Latino,Laptop/Computer,783421,2,control,graffiti,absent,graffiti_control_6,graffiti_control_9,graffiti_control_31,graffiti_innocent_4,graffiti_control_13,graffiti_control_1,NONE,No,notpresent,90,one,1,Absent,, ,,,yes
ucsd_5,23,bn5egg6aimyjzv9uwzzpbke29,18,Male,Latino,Laptop/Computer,783421,1,control,mugging,present,mugging_control_22,mugging_control_36,mugging_control_perpetrator,mugging_control_20,mugging_control_1,mugging_control_24,No technical issue.,No,face2,80,two,1,Present,, ,,,yes
ucsd_5,24,prw7cc5h6y13l6wpexuzt1emi,23,Male,Latino,Laptop/Computer,780889,2,control,graffiti,present,graffiti_control_10,graffiti_control_perpetrator,graffiti_control_2,graffiti_control_32,graffiti_control_26,graffiti_control_11,,No,face5,70,one,0,Present,, ,,,yes
ucsd_5,24,prw7cc5h6y13l6wpexuzt1emi,23,Male,Latino,Laptop/Computer,780889,1,control,mugging,absent,mugging_control_11,mugging_control_27,mugging_control_25,mugging_innocent_22,mugging_control_30,mugging_control_20,,No,face1,60,two,filler,Present,, ,,,yes
ucsd_5,25,z1o7kbulsj7ydhcrwngj02j4i,19,Female,Asian,Laptop/Computer,784732,2,simultaneousShowup,mugging,absent,mugging_lineup_38,mugging_lineup_8,mugging_lineup_10,mugging_innocent_28,mugging_lineup_21,mugging_lineup_13,,No,no,100,two,1,Absent,, ,,,yes
ucsd_5,25,z1o7kbulsj7ydhcrwngj02j4i,19,Female,Asian,Laptop/Computer,784732,1,simultaneousShowup,graffiti,present,graffiti_lineup_30,graffiti_lineup_40,graffiti_lineup_3,graffiti_lineup_11,graffiti_lineup_perpetrator,graffiti_lineup_35,,No,yes,50,one,1,Present,, ,,,yes
ucsd_5,26,5bc3izab3xb4xx5eaf758kt9,20,Female,Asian,Laptop/Computer,739844,2,simultaneousShowup,graffiti,absent,graffiti_lineup_29,graffiti_lineup_2,graffiti_lineup_40,graffiti_lineup_34,graffiti_innocent_31,graffiti_lineup_11,It looked like it froze for a bit but the video continued.,No,yes,100,one,0,Present,1, ,,,no
ucsd_5,26,5bc3izab3xb4xx5eaf758kt9,20,Female,Asian,Laptop/Computer,739844,1,simultaneousShowup,mugging,present,mugging_lineup_10,mugging_lineup_13,mugging_lineup_8,mugging_lineup_perpetrator,mugging_lineup_40,mugging_lineup_32,"Yes,  was playing for 19 seconds until it started buffering/froze. The screen was stuck on one image and wouldn't continue playing.",No,no,20,two,0,Absent,1, ,,,no
ucsd_5,27,vcvgkesd10y0m545qovq5b3xr,22,Male,Asian,Laptop/Computer,724455,2,simultaneousShowup,graffiti,present,graffiti_lineup_28,graffiti_lineup_perpetrator,graffiti_lineup_5,graffiti_lineup_34,graffiti_lineup_4,graffiti_lineup_31,no,No,no,80,one,0,Absent,, ,,,yes
ucsd_5,27,vcvgkesd10y0m545qovq5b3xr,22,Male,Asian,Laptop/Computer,724455,1,simultaneousShowup,mugging,absent,mugging_innocent_25,mugging_lineup_32,mugging_lineup_35,mugging_lineup_28,mugging_lineup_15,mugging_lineup_31,No,No,no,80,two,1,Absent,, ,,,yes
ucsd_5,28,azvwl1ohp7u,22,Female,Mexican-American,Laptop/Computer,775563,2,showup,mugging,absent,mugging_innocent_7,,,,,,no,No,no,30,two,1,Absent,, ,,,yes
ucsd_5,28,azvwl1ohp7u,22,Female,Mexican-American,Laptop/Computer,775563,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,no,No,yes,70,one,1,Present,, ,,,yes
ucsd_5,29,88ehxay7jfe,22,Female,Asian,Laptop/Computer,765942,2,showup,graffiti,absent,graffiti_innocent_25,,,,,,There was no technical difficulty,No,no,70,one,1,Absent,, ,,,yes
ucsd_5,29,88ehxay7jfe,22,Female,Asian,Laptop/Computer,765942,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,There was no technical problem encountered.,No,yes,60,two,1,Present,, ,,,yes
ucsd_5,30,dxw2mjm9v6i,24,Female,Mexican-American,Tablet,872779,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,I did not experience any technical issues. ,No,no,70,two,0,Absent,, ,,,yes
ucsd_5,30,dxw2mjm9v6i,24,Female,Mexican-American,Tablet,872779,1,showup,graffiti,absent,graffiti_innocent_32,,,,,,It seemed as if the video stopped when the man in the video was spray painting the wall. It felt like the video was playing for at least 18 seconds or so when the technical issue occurred. I assumed it was part of the video.,No,yes,70,one,0,Present,, ,,,yes
ucsd_5,31,vv0tpnnaibl1islyx4wsif6r,20,Male,Asian,Laptop/Computer,841311,2,simultaneousShowup,mugging,present,mugging_lineup_5,mugging_lineup_perpetrator,mugging_lineup_23,mugging_lineup_7,mugging_lineup_35,mugging_lineup_21,,No,yes,100,two,1,Present,, ,,,yes
ucsd_5,31,vv0tpnnaibl1islyx4wsif6r,20,Male,Asian,Laptop/Computer,841311,1,simultaneousShowup,graffiti,absent,graffiti_lineup_1,graffiti_lineup_9,graffiti_innocent_18,graffiti_lineup_3,graffiti_lineup_24,graffiti_lineup_35,,No,no,100,one,1,Absent,, ,,,yes
ucsd_5,32,xlv2pb9qjngzv4wl9bsatt9,19,Male,Caucasian,Laptop/Computer,705386,2,control,mugging,present,mugging_control_perpetrator,mugging_control_6,mugging_control_16,mugging_control_9,mugging_control_21,mugging_control_33,No issues,No,face0,70,two,1,Present,, ,,,yes
ucsd_5,32,xlv2pb9qjngzv4wl9bsatt9,19,Male,Caucasian,Laptop/Computer,705386,1,control,graffiti,absent,graffiti_control_21,graffiti_control_2,graffiti_control_31,graffiti_control_7,graffiti_innocent_28,graffiti_control_13,No technical issues,No,notpresent,100,one,1,Absent,, ,,,yes
ucsd_5,33,39awl43jr9y3c8fr,20,Female,Asian,Laptop/Computer,717504,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,None,No,yes,80,one,1,Present,, ,,,yes
ucsd_5,33,39awl43jr9y3c8fr,20,Female,Asian,Laptop/Computer,717504,1,showup,mugging,absent,mugging_innocent_10,,,,,,None,No,no,70,two,1,Absent,, ,,,yes
