subNum,lineupType,suspectPosition,suspectID,suspectRT,suspectConf,fill1ID,fill1RT,fill1Conf,fill2ID,fill2RT,fill2Conf,fill3ID,fill3RT,fill3Conf,fill4ID,fill4RT,fill4Conf,fill5ID,fill5RT,fill5Conf,fill6ID,fill6RT,fill6Conf
2880,Target Present,5,Yes,9.421,90,Yes,7.921,80,No,6.313,-50,No,8.102,-50,Yes,10.03,60,,,,No,8.571,-70
2881,Target Present,3,No,15.653,58,Yes,22.68,61,No,9.027,-40,,,,Yes,8.912,81,No,7.529,-29,No,8.498,-40
2882,Target Present,6,Yes,7.724,81,No,10.495,-51,Yes,7.662,51,Yes,9.366,51,No,6.677,-51,No,7.075,-51,,,
2883,Target Present,1,Yes,3.807,94,,,,No,4.31,-100,No,10.718,-100,No,7.073,-100,Yes,4.854,93,No,2.504,-100
2884,Target Present,4,No,2.094,89,Yes,11.046,75,Yes,3.51,51,No,2.004,-81,,,,No,3.819,-100,No,3.049,-29
2885,Target Absent,,,,,Yes,11.414,79,No,6.398,-72,No,4.806,-92,Yes,9.782,83,No,10.887,-71,No,7.374,-75
2886,Target Absent,,,,,No,13.817,-60,No,6.176,-80,No,5.122,-91,No,5.978,-81,No,4.227,-98,No,5.003,-94
2887,Target Absent,,,,,No,21.128,-41,No,3.606,-73,No,13.217,-38,No,3.211,-86,No,7.732,-51,No,3.365,-57
2888,Target Absent,,,,,No,13.29,-42,No,5.097,-90,No,4.712,-82,No,4.037,-100,No,3.992,-87,No,4.44,-94
2889,Target Present,5,Yes,7.897,100,No,6.286,-80,Yes,3.89,90,No,11.783,-50,No,13.027,-80,,,,No,5.29,-100
2890,Target Present,1,Yes,4.874,75,,,,No,9.618,-100,No,3.733,-89,No,3.127,-100,No,4.568,-96,No,4.299,-100
2891,Target Absent,,,,,No,6.421,-60,No,3.722,-100,No,3.18,-71,No,3.182,-98,No,2.769,-100,No,5.077,-51
2892,Target Absent,,,,,No,4.074,-100,No,4.015,-100,No,3.788,-100,No,4.533,-100,No,5.52,-100,No,3.446,-100
2893,Target Present,3,Yes,5.653,52,No,6.958,-40,No,5.113,-40,,,,No,2.735,-93,No,3.117,-100,No,4.959,-38
2894,Target Present,2,Yes,4.763,72,Yes,5.097,51,,,,No,2.672,-93,No,2.693,-90,No,2.594,-71,Yes,4.036,67
2895,Target Present,6,No,3.261,46,Yes,4.164,51,No,3.525,-47,No,4.522,-62,No,4.853,-56,No,14.271,-48,,,
2896,Target Present,2,No,5.593,92,Yes,10.74,77,,,,No,6.202,-100,No,4.72,-100,No,4.977,-100,No,3.464,-100
2897,Target Present,6,Yes,5.484,75,No,4.229,-61,No,4.98,-41,No,5.644,-73,No,5.24,-30,Yes,3.533,66,,,
2898,Target Present,4,Yes,6.304,100,No,5.623,-100,No,5.372,-100,No,6.916,-100,,,,No,4.581,-100,No,4.879,-100
2899,Target Absent,,,,,No,11.606,-50,No,15.209,-34,No,20.02,-57,No,21.853,-21,No,21.21,-2,Yes,12.655,62
2900,Target Present,1,Yes,7.83,81,,,,No,3.665,-91,No,4.397,-51,No,3.06,-94,No,3.84,-60,No,3.884,-95
2901,Target Present,3,Yes,4.194,100,No,5.516,-77,No,3.476,-99,,,,No,4.056,-100,No,3.161,-95,No,7.224,-97
2902,Target Present,5,No,3.096,39,Yes,6.286,62,No,3.576,-29,No,3.047,-34,No,0,-40,,,,No,0,-34
2903,Target Absent,,,,,No,7.522,-66,Yes,6.553,82,No,3.276,-93,Yes,4.301,67,No,5.056,-100,No,4.497,-88
2904,Target Present,6,Yes,6.392,10,Yes,14.641,0,No,4.696,0,No,4.063,0,No,3.916,0,No,6.494,0,,,
2905,Target Absent,,,,,No,16.465,-60,No,10.927,-100,No,9.263,-79,Yes,8.329,71,No,10.007,-40,No,7.825,-100
2906,Target Present,5,Yes,11.777,34,No,9.356,-33,No,6.055,-57,No,5.117,-84,No,4.762,-78,,,,No,5.255,-65
2907,Target Present,3,Yes,5.95,93,No,6.694,-100,No,4.701,-94,,,,No,4.556,-100,No,5.513,-100,No,4.772,-83
2908,Target Absent,,,,,No,5.547,-84,No,4.656,-71,Yes,6.707,89,No,3.834,-100,No,5.894,-94,No,3.799,-93
2909,Target Absent,,,,,No,5.399,-51,No,4.014,-100,No,6.395,-100,No,5.477,-100,Yes,6.224,51,Yes,5.878,51
2910,Target Present,4,Yes,6.977,60,No,7.255,-40,No,4.503,-72,No,5.391,-76,,,,No,5.721,-72,No,4.941,-63
2911,Target Absent,,,,,Yes,4.055,71,No,3.55,-39,No,2.878,-67,No,3.315,-60,Yes,3.922,70,No,2.72,-36
2912,Target Absent,,,,,No,5.771,-82,No,9.753,-85,No,8.439,-76,Yes,8.841,85,Yes,7.062,94,No,5.462,-100
2913,Target Absent,,,,,No,2.664,-79,Yes,7.034,82,No,9.107,-39,No,8.672,-32,No,4.438,-68,No,6.705,-33
2914,Target Absent,,,,,No,13.056,-51,No,17.506,-52,No,14.272,-62,Yes,10.825,73,No,8.909,-87,No,16.346,-58
2915,Target Present,1,Yes,2.945,95,,,,No,5.842,-96,No,5.554,-100,No,3.709,-100,No,3.095,-100,No,4.263,-100
2916,Target Present,2,No,9.04,40,No,10.002,-30,,,,No,3.23,-71,No,4.367,-82,No,3.431,-51,No,5.716,-72
2917,Target Absent,,,,,Yes,4.345,62,No,7.204,-55,Yes,5.536,61,No,2.642,-51,No,3.586,-51,No,4.784,-68
2918,Target Absent,,,,,No,10.334,-100,No,6.819,-100,Yes,7.674,82,No,5.053,-100,No,4.377,-100,No,4.238,-100
2919,Target Present,2,Yes,5.221,79,No,7.428,-44,,,,No,5.393,-86,No,4.86,-90,No,4.839,-91,No,4.639,-91
2920,Target Present,1,Yes,10.562,61,,,,No,6.109,-92,No,14.546,-92,No,12.825,-100,No,9.029,-73,No,8.654,-95
