subNum,condition,lineupType,suspectPosition,suspectID,suspectConf,fill1ID,fill1Conf,fill2ID,fill2Conf,fill3ID,fill3Conf,fill4ID,fill4Conf,fill5ID,fill5Conf,fill6ID,fill6Conf
2888,Target Absent,Lineup,,,NaN,No,47,No,43,No,41,Yes,63,Yes,63,No,46
2889,Target Present,Showup,,Yes,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2890,Target Present,Showup,,Yes,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2891,Target Present,Showup,,Yes,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2892,Target Absent,Showup,,,NaN,Yes,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2893,Target Present,Showup,,Yes,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2894,Target Present,Showup,,Yes,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2895,Target Absent,Showup,,,NaN,No,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2896,Target Present,Lineup,pos 1,Yes,41,NaN,NaN,No,100,No,100,No,100,No,100,No,100
2897,Target Absent,Showup,,,NaN,No,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2898,Target Present,Showup,,Yes,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2899,Target Absent,Lineup,,,NaN,No,73,Yes,60,No,83,No,100,No,100,No,100
2900,Target Absent,Lineup,,,NaN,No,70,No,100,No,70,No,89,No,90,Yes,96
2901,Target Absent,Showup,,,NaN,No,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2902,Target Present,Lineup,pos 1,No,66,NaN,NaN,No,85,No,92,No,57,No,95,No,54
2903,Target Absent,Showup,,,NaN,No,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2904,Target Absent,Showup,,,NaN,No,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2905,Target Absent,Showup,,,NaN,No,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2906,Target Present,Showup,,Yes,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2907,Target Present,Showup,,Yes,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2908,Target Absent,Lineup,,,NaN,No,100,No,100,No,100,No,100,No,100,No,35
2909,Target Present,Showup,,No,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2910,Target Absent,Showup,,,NaN,No,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2912,Target Absent,Lineup,,,NaN,No,20,No,82,No,82,No,92,No,81,No,41
2913,Target Absent,Lineup,,,NaN,No,35,No,67,No,60,No,77,No,67,No,70
2914,Target Absent,Lineup,,,NaN,No,80,No,70,No,80,No,60,No,90,Yes,80
2915,Target Present,Showup,,Yes,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2916,Target Present,Lineup,pos 5,Yes,4,Yes,71,Yes,16,No,16,No,26,NaN,NaN,No,6
2917,Target Present,Showup,,Yes,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2918,Target Absent,Showup,,,NaN,Yes,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2919,Target Absent,Lineup,,,NaN,No,30,No,40,No,45,No,20,No,48,No,10
2920,Target Absent,Showup,,,NaN,No,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2921,Target Absent,Lineup,,,NaN,Yes,62,Yes,60,No,84,No,90,No,90,No,86
2922,Target Present,Lineup,pos 3,No,20,Yes,20,No,20,NaN,NaN,No,20,No,30,No,20
2923,Target Absent,Lineup,,,NaN,No,16,No,85,No,76,No,7,Yes,60,Yes,89
2924,Target Present,Showup,,Yes,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2925,Target Present,Lineup,pos 1,Yes,75,NaN,NaN,No,61,No,73,No,68,No,71,No,75
2926,Target Absent,Showup,,,NaN,No,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2927,Target Absent,Lineup,,,NaN,No,20,Yes,30,No,72,No,62,No,59,No,66
2928,Target Absent,Showup,,,NaN,Yes,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2929,Target Present,Showup,,Yes,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2930,Target Present,Showup,,Yes,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2931,Target Present,Showup,,Yes,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2932,Target Present,Lineup,pos 6,Yes,71,Yes,66,No,82,No,64,No,92,No,91,NaN,NaN
2933,Target Absent,Lineup,,,NaN,No,29,Yes,71,No,100,No,84,No,50,No,80
