Subject;Subject_gender;Subject_age;Subject_language;Subject_nationality;Subject_height;Presentation_order;Target;TP_or_TA;SIM_or_SEQ;Selected_image;Response;Identification_yes_or_no;Rejection_yes_or_no;TP_identification;TA_rejection;Confidence;Response_time;Recognise_chosen;Recognise_other;Seq_image1;Seq_image1_choice;Seq_image1_time;Seq_image2;Seq_image2_choice;Seq_image2_time;Seq_image3;Seq_image3_choice;Seq_image3_time;Seq_image4;Seq_image4_choice;Seq_image4_time;Seq_image5;Seq_image5_choice;Seq_image5_time;Seq_image6;Seq_image6_choice;Seq_image6_time;Seq_image7;Seq_image7_choice;Seq_image7_time;Seq_image8;Seq_image8_choice;Seq_image8_time;Sim_row1_image1;Sim_row1_image2;Sim_row1_image3;Sim_row1_image4;Sim_row2_image1;Sim_row2_image2;Sim_row2_image3;Sim_row2_image4;Distance_actual
38;woman;52;Finnish;Finland;167;3;T4;TP;SIM;T4_Correct.jpg;1;1;0;1;NA;0;38.048;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T4_Foil_6.jpg;T4_Foil_4.jpg;T4_Foil_3.jpg;T4_Foil_2.jpg;T4_Foil_1.jpg;T4_Foil_7.jpg;T4_Correct.jpg;T4_Foil_5.jpg;70
38;woman;52;Finnish;Finland;167;4;T2;TP;SIM;T2_Foil_5.jpg;0;1;0;0;NA;0;6.366;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T2_Foil_2.jpg;T2_Correct.jpg;T2_Foil_4.jpg;T2_Foil_7.jpg;T2_Foil_5.jpg;T2_Foil_6.jpg;T2_Foil_3.jpg;T2_Foil_1.jpg;90
39;woman;28;Finnish;Finland;168;1;T3;TA;SEQ;no image chosen;1;0;1;NA;1;95;28.007;0;0;T3_Foil_6.jpg;0;6.662;T3_Foil_5.jpg;0;3.064;T3_Extra.jpg;0;2.565;T3_Foil_1.jpg;0;2.53;T3_Foil_2.jpg;0;2.102;T3_Foil_7.jpg;0;9.279;T3_Foil_4.jpg;0;1.009;T3_Foil_3.jpg;0;0.796;NA;NA;NA;NA;NA;NA;NA;NA;45
39;woman;28;Finnish;Finland;168;2;T1;TP;SEQ;T1_Correct.jpg;1;1;0;1;NA;100;4.676;0;0;T1_Foil_1.jpg;0;1.659;T1_Correct.jpg;1;3.017;T1_Foil_2.jpg;0;0;T1_Foil_7.jpg;0;0;T1_Foil_6.jpg;0;0;T1_Foil_4.jpg;0;0;T1_Foil_3.jpg;0;0;T1_Foil_5.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;10
39;woman;28;Finnish;Finland;168;3;T4;TA;SEQ;T4_Foil_6.jpg;0;1;0;NA;0;27;18.647;0;0;T4_Foil_3.jpg;0;2.125;T4_Foil_1.jpg;0;1.116;T4_Foil_4.jpg;0;1.627;T4_Foil_5.jpg;0;3.899;T4_Foil_7.jpg;0;3.752;T4_Foil_2.jpg;0;2.826;T4_Extra.jpg;0;1.556;T4_Foil_6.jpg;1;1.746;NA;NA;NA;NA;NA;NA;NA;NA;100
39;woman;28;Finnish;Finland;168;4;T2;TP;SEQ;no image chosen;0;0;1;0;NA;6;10.72;0;0;T2_Foil_7.jpg;0;1.966;T2_Correct.jpg;0;1.247;T2_Foil_6.jpg;0;1.01;T2_Foil_5.jpg;0;1.165;T2_Foil_1.jpg;0;1.092;T2_Foil_4.jpg;0;1.021;T2_Foil_3.jpg;0;2.21;T2_Foil_2.jpg;0;1.009;NA;NA;NA;NA;NA;NA;NA;NA;40
40;woman;43;Finnish;Finland;173;1;T3;TP;SEQ;no image chosen;0;0;1;0;NA;42;32.294;0;0;T3_Foil_4.jpg;0;9.776;T3_Foil_7.jpg;0;4.617;T3_Foil_3.jpg;0;1.902;T3_Foil_6.jpg;0;5.775;T3_Foil_2.jpg;0;1.652;T3_Foil_5.jpg;0;1.949;T3_Foil_1.jpg;0;1.842;T3_Correct.jpg;0;4.781;NA;NA;NA;NA;NA;NA;NA;NA;70
40;woman;43;Finnish;Finland;173;2;T1;TA;SEQ;no image chosen;1;0;1;NA;1;13;19.234;0;0;T1_Foil_4.jpg;0;3.222;T1_Foil_6.jpg;0;3.16;T1_Foil_1.jpg;0;1.725;T1_Extra.jpg;0;1.782;T1_Foil_5.jpg;0;2.806;T1_Foil_2.jpg;0;3.186;T1_Foil_7.jpg;0;1.617;T1_Foil_3.jpg;0;1.736;NA;NA;NA;NA;NA;NA;NA;NA;15
40;woman;43;Finnish;Finland;173;3;T4;TA;SEQ;T4_Foil_1.jpg;0;1;0;NA;0;18;20.222;0;0;T4_Foil_7.jpg;0;13.916;T4_Foil_1.jpg;1;6.306;T4_Foil_3.jpg;0;0;T4_Foil_5.jpg;0;0;T4_Foil_4.jpg;0;0;T4_Extra.jpg;0;0;T4_Foil_6.jpg;0;0;T4_Foil_2.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;90
40;woman;43;Finnish;Finland;173;4;T2;TP;SEQ;T2_Foil_5.jpg;0;1;0;0;NA;23;5.896;0;0;T2_Foil_5.jpg;1;5.896;T2_Correct.jpg;0;0;T2_Foil_4.jpg;0;0;T2_Foil_1.jpg;0;0;T2_Foil_6.jpg;0;0;T2_Foil_7.jpg;0;0;T2_Foil_2.jpg;0;0;T2_Foil_3.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;25
41;woman;8;Finnish;Finland;131;1;T3;TP;SEQ;T3_Foil_4.jpg;0;1;0;0;NA;0;4.649;0;0;T3_Foil_4.jpg;1;4.649;T3_Correct.jpg;0;0;T3_Foil_5.jpg;0;0;T3_Foil_3.jpg;0;0;T3_Foil_6.jpg;0;0;T3_Foil_2.jpg;0;0;T3_Foil_1.jpg;0;0;T3_Foil_7.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;45
41;woman;8;Finnish;Finland;131;2;T2;TA;SEQ;T2_Foil_5.jpg;0;1;0;NA;0;0;5.968;0;0;T2_Foil_5.jpg;1;5.968;T2_Foil_4.jpg;0;0;T2_Foil_2.jpg;0;0;T2_Foil_6.jpg;0;0;T2_Foil_3.jpg;0;0;T2_Extra_T.jpg;0;0;T2_Foil_7.jpg;0;0;T2_Foil_1.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;40
41;woman;8;Finnish;Finland;131;3;T4;TA;SEQ;T4_Foil_4.jpg;0;1;0;NA;0;0;4.92;0;0;T4_Foil_4.jpg;1;4.92;T4_Foil_5.jpg;0;0;T4_Foil_3.jpg;0;0;T4_Foil_7.jpg;0;0;T4_Foil_2.jpg;0;0;T4_Extra.jpg;0;0;T4_Foil_1.jpg;0;0;T4_Foil_6.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;100
41;woman;8;Finnish;Finland;131;4;T1;TA;SEQ;T1_Foil_4.jpg;0;1;0;NA;0;0;12.134;0;0;T1_Foil_6.jpg;0;3.341;T1_Foil_4.jpg;1;8.793;T1_Extra.jpg;0;0;T1_Foil_5.jpg;0;0;T1_Foil_1.jpg;0;0;T1_Foil_2.jpg;0;0;T1_Foil_7.jpg;0;0;T1_Foil_3.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;10
42;woman;10;Finnish;Finland;147;1;T4;TP;SEQ;T4_Foil_7.jpg;0;1;0;0;NA;66;5.745;0;0;T4_Foil_7.jpg;1;5.745;T4_Correct.jpg;0;0;T4_Foil_4.jpg;0;0;T4_Foil_3.jpg;0;0;T4_Foil_2.jpg;0;0;T4_Foil_5.jpg;0;0;T4_Foil_6.jpg;0;0;T4_Foil_1.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;110
