ParticipantId,Age,Sex,Ethnicity,Ethnicity2,TimeElapsed,EncodingConditionRaw,EncodingCondition,TargetPresent,Lineup1,Lineup2,Lineup3,Lineup4,Lineup5,Lineup6,Interactors,ParticipantTargetPresent,ParticipantLineupSelection,Accuracy,ParticipantSelection,Confidence,MouseGroup,MissingMouseData,TargetFront,TargetLeft,TargetRight,FrontFiller,LeftFiller,RightFiller,SameTarget,OppTarget,SameFiller,OppFiller,
1839f276-844d-499a-a4f1-8af9b38d2553,31,Male,White or Caucasian,White American,210292,2,left,1,1,5,3,2,6,4,1,yes,5,1,target,90,Low,0,0.714981479,0.285018521,,0.73199907,0.12555887,0.14244206,0.285018521,0,0.12555887,0.14244206,
407a9abe-04ba-4bfa-b23e-846adb81a1c5,24,Female,"East Asian (e.g., Chinese, Japanese, Korean)",Mixed White &amp; Asian,227132,2,left,0,6,3,1,5,4,2,1,no,,1,reject,50,High,0,,,,0.608929749,0.353500581,0.03756967,,,0.353500581,0.03756967,
2171c2fa-c5c6-4364-841b-824c5451e567,29,Female,White or Caucasian,White American,170435,1,right,0,2,6,1,3,5,4,1,yes,1,0,filler,50,Low,0,,,,0.714116345,0.134598814,0.151284841,,,0.151284841,0.134598814,
6c0434c0-dd9e-494d-8114-d342afbf7d3b,61,Female,White or Caucasian,White American,238478,1,right,0,2,5,4,6,3,1,1,no,,1,reject,90,Low,0,,,,0.835455462,0,0.164544538,,,0.164544538,0,
3ea4a142-eeb4-4fc9-8aee-c5d1249a559f,35,Female,White or Caucasian,White American,185707,2,left,0,3,2,4,6,5,1,1,no,,1,reject,90,Low,0,,,,0.726671555,0.207567496,0.065760949,,,0.207567496,0.065760949,
ad2fe09c-33c5-48f1-87b0-158ee04bf6b3,56,Male,"Hispanic, Latino or Spanish",Hispanic or Latino,289175,1,right,0,4,3,1,5,6,2,1,yes,6,0,filler,90,Low,0,,,,0.715205259,0.215428294,0.069366447,,,0.069366447,0.215428294,
735de53d-f6f6-46b3-bafd-aa03d8370cd4,33,Female,White or Caucasian,White American,683196,2,left,1,2,3,4,6,5,1,1,yes,4,1,target,80,Low,0,0.578244275,0.399672846,0.022082879,0.800416357,0.130443308,0.069140335,0.399672846,0.022082879,0.130443308,0.069140335,
a431459f-aa97-4907-98a3-a53af1b0e2bc,31,Male,American Indian or Alaska Native,Asian Indian,459377,2,left,0,3,6,4,5,2,1,1,no,,1,reject,80,Low,0,,,,0.868238775,0.088113621,0.043647604,,,0.088113621,0.043647604,
4904b232-7f8e-41d9-9295-590185b3ef4a,49,Male,White or Caucasian,White American,174223,1,right,1,6,5,1,4,3,2,1,yes,1,1,target,90,High,0,0.848002708,,0.151997292,0.612948899,0.015170615,0.371880486,0.151997292,0,0.371880486,0.015170615,
896f6039-7495-43e0-b5ed-34ce9fecdb0b,30,Female,Black or African American,Mixed White &amp; Black African,244567,2,left,0,1,6,3,5,4,2,1,yes,6,0,filler,60,Low,0,,,,0.800570718,0.164735245,0.034694037,,,0.164735245,0.034694037,
636028ec-e524-4053-b9e5-3aae245bc8fd,35,Male,Black or African American,Black other,262367,1,right,0,5,6,1,4,3,2,1,yes,6,0,filler,60,High,0,,,,0.796932008,0.01546026,0.187607733,,,0.187607733,0.01546026,
9528e9a6-5b72-4630-a829-da530991a237,44,Female,White or Caucasian,White American,187546,1,right,1,6,1,2,3,5,4,1,yes,1,1,target,90,High,0,0.752924394,,0.247075606,0.697616239,0,0.302383761,0.247075606,0,0.302383761,0,
ef14ea16-1953-41ad-8f42-be9c77ed1c43,31,Male,White or Caucasian,White American,194075,2,left,1,4,3,5,1,6,2,1,yes,5,1,target,70,Low,0,0.811043285,0.17563818,0.013318535,0.797906709,0.079428935,0.122664356,0.17563818,0.013318535,0.079428935,0.122664356,
18471164-6842-46bf-8d9a-f953ee6e83bc,40,Male,White or Caucasian,White American,144622,2,left,1,5,1,3,4,6,2,1,no,,0,reject,80,High,0,0.597584234,0.402415766,0,0.797906709,0.079428935,0.122664356,0.402415766,0,0.079428935,0.122664356,
1d3b6c75-d25f-4705-9890-653a28cc28a4,26,Female,"East Asian (e.g., Chinese, Japanese, Korean)",Asian other,189743,1,right,0,4,3,1,6,2,5,1,yes,4,0,filler,40,Low,0,,,,0.867855471,0,0.132144529,,,0.132144529,0,
