SubjectId,Gender,Age,Ethnicity,VideoWatched,TargetPresent,Start Date,Finish Date,Time elapsed (ms),AgeGroup,LateGroup,Face1.jpeg,Face2.jpeg,Face3.jpeg,Face4.jpeg,Face5.jpeg,Face6.jpeg,LineupNumberID'd2,Face(.jpeg)ID'd,Correct,SaidAbsentorPresent,IDResponse,PreIDConfidence,Confidence,Interacted,MouseMovements,MouseMovements2,Total Interaction Time,MouseGroup,ChildAlone,IncludeFinalSample
7179129e-5537-4cb1-afe7-898abd99153a,Female,8,White British,chocolate,yes,28/05/2018,28/05/2018,374780,Middle,NA,3,1,4,5,6,2,5,6,1,present,perpetrator,20,20,Interacted,"=[[5,18,8741],[5,19,8807],[5,20,8875],[5,21,8969],[5,22,9025],[5,23,9160],[5,24,9259],[5,25,9392],[5,26,9692],[5,27,9832],[5,28,9942],[5,29,10008],[5,30,10226],[5,31,10909],[5,30,15512],[5,29,15676],[5,28,15776],[5,27,15859],[5,26,15960],[5,25,16043],[5,24,16127],[5,23,16209],[5,22,16242],[5,21,16276],[5,20,16876],[5,19,16926],[5,20,17793],[5,19,20016],[5,18,20193],[5,17,20208],[5,16,20225],[5,15,20259],[5,14,20376],[5,13,20426],[5,12,20477],[5,11,20510],[5,10,20543],[5,9,20594],[5,8,20678],[5,7,20693],[5,6,20710],[5,5,20726],[5,4,20760],[5,3,20844],[5,2,20876],[5,1,20910],[5,0,20976],[5,1,26395],[5,2,26496],[5,3,26744],[5,4,26811],[5,5,26912],[5,6,26977],[5,7,27061],[5,8,27244],[5,9,27760],[5,10,27895],[5,11,28011],[5,12,28228],[5,13,28362],[5,14,28428],[5,15,28495],[5,16,28544],[5,17,28577],[5,18,28611],[5,19,28645],[5,20,28678],[5,21,28711],[5,22,28744],[5,23,28795],[5,24,28828],[5,25,28861],[5,26,28894],[5,27,28927],[5,28,28943],[5,29,28977],[5,30,29027],[5,31,29061],[5,32,29094],[5,33,29800],[5,34,30562],[5,33,32994],[5,32,33511],[5,31,33612],[5,30,34463],[5,29,34879],[5,28,34911],[5,27,34929],[5,26,34945],[5,25,34961],[5,24,35104],[5,23,35145],[5,22,35161],[5,21,35180],[5,22,35663],[5,23,35762]]",,35762,High,yes,yes
7996c27d-6cbb-40ec-9e67-6a4f69897f26,Male,8,White British,chocolate,yes,28/05/2018,28/05/2018,412369,Middle,NA,4,6,5,1,3,2,1,4,0,present,foil,30,20,Interacted,"=[[1,16,7240],[1,15,7272],[1,14,7290],[1,13,7306],[1,12,7322],[1,11,7340],[1,10,7356],[1,9,7624],[1,8,7674],[1,7,7907],[1,6,7939],[1,5,7973],[1,4,8156],[1,3,8174],[1,2,8206],[1,1,8240],[1,0,8290],[1,1,10890],[1,2,11106],[1,3,11123],[1,4,11140],[1,5,11156],[1,6,11379],[1,7,11407],[1,8,11423],[1,9,11440],[1,10,11456],[1,9,12274],[1,8,12290],[1,7,12306],[1,6,12323],[1,5,12357],[1,4,12540],[1,3,12558],[1,2,12573],[1,1,12589],[1,0,12606],[1,1,13707],[1,2,13724],[1,3,13740],[1,4,13757],[1,5,13773],[1,6,13790],[1,7,13807],[1,8,13841],[1,9,13924],[1,10,13940],[1,11,13957],[1,12,13973],[1,13,13990],[1,14,14007],[1,15,14023],[1,16,14040],[1,17,14057],[1,18,14074],[1,19,14090],[1,20,14107],[1,21,14123],[1,22,14140],[1,23,14156],[1,24,14174],[1,25,14190],[1,26,14306],[1,27,14340],[1,28,14358],[1,29,14391],[1,30,14724],[1,31,14741],[1,32,14757],[1,33,14859],[1,34,14890],[1,33,15542],[1,32,15574],[1,31,15608],[1,30,16275],[1,29,16524],[1,28,16591],[1,27,16624],[1,26,16642],[1,25,16673],[1,24,16691],[1,23,16724],[1,22,16757],[1,21,16790],[1,20,16808],[1,19,17008],[1,18,17024],[1,17,17040],[1,16,17057],[1,15,17291],[1,14,17474],[1,13,17507],[1,12,17541],[1,13,18441],[1,14,18475],[1,15,18508],[1,16,18627],[1,17,18691],[1,18,18741],[1,19,18930],[1,20,18957],[1,21,18974],[1,22,18990],[1,23,19007],[1,24,19023],[1,25,19058],[1,24,19592],[1,23,19625],[1,22,19792],[1,21,21009],[1,20,21025],[1,19,21040],[1,18,21058],[1,17,21075],[1,16,21090],[1,15,21892],[1,14,21925],[1,13,21940],[1,12,22325],[1,11,22525],[1,10,22609],[1,9,22658],[1,8,22691],[1,7,22725],[2,8,28266],[2,9,28292],[2,10,28308],[2,11,28326],[2,12,28342],[2,13,28359],[2,14,28376],[2,15,28392],[2,16,28408],[2,17,28426],[2,16,28922],[1,17,35860],[1,18,35876],[1,19,35893],[1,20,35909],[1,21,35926],[1,22,35943],[1,23,35959],[1,24,35976],[1,25,35993],[1,26,36009],[1,27,36026],[1,28,36043],[1,29,36059],[1,30,36076],[1,31,36093],[1,32,36110],[1,33,36126],[1,34,36143],[1,33,37544],[1,32,37577],[1,31,38043],[1,30,38060],[1,29,38076],[1,28,38093],[1,27,38109],[1,26,38126],[1,25,38143],[1,24,38160],[1,23,38177],[1,22,38809],[1,21,38827],[1,20,38843],[1,19,38860],[1,18,38876],[1,17,38893],[1,16,38927],[1,15,38943],[1,14,38959],[1,13,38977],[1,12,38993],[1,11,39127],[1,10,39143],[1,9,39160],[1,8,39176],[1,7,39194],[1,6,39227],[1,5,39244],[1,4,39260],[1,5,39746],[1,6,39810],[1,7,39843],[1,8,39876],[1,9,39894],[1,10,40010],[1,11,40028],[1,12,40043],[1,13,40060],[1,14,40076],[1,15,40093],[1,16,40110],[1,17,40127],[1,18,40143],[1,19,40160],[1,20,40176],[1,21,40193],[1,22,40210],[1,23,40227],[1,24,40243],[1,25,40260],[1,26,40277],[1,27,40294],[1,28,40310],[1,29,40327],[1,30,40343],[1,31,40360],[1,32,40377],[1,33,40444],[1,34,40527],[1,33,40911],[1,32,40927],[1,31,40943],[1,30,41025],[1,29,41060],[1,28,41078],[1,27,41094],[1,26,41110],[1,25,41127],[1,24,41143],[1,23,41160],[1,22,41177],[1,21,41193],[1,20,41210],[1,19,41226],[1,18,41243],[1,17,41260],[1,16,41277],[1,15,41294],[1,14,41310],[1,13,41327],[1,12,41343],[1,11,41377],[1,10,41444],[1,9,41477],[1,8,41510],[1,7,41527],[1,6,41543],[1,7,45111],[1,8,45161],[1,9,45312],[1,10,45344],[1,11,45444],[1,12,45512],[1,13,45577],[1,14,45594],[1,15,45611],[1,16,45644],[1,17,45661],[1,18,45695],[1,19,45711],[1,20,45728],[1,21,45744],[1,22,45761],[1,23,45777],[1,24,45794],[1,25,45827],[1,26,45861],[1,27,45894],[1,28,46011],[1,29,46027],[1,30,46044],[1,31,46061],[1,32,46077],[1,33,46095],[1,34,46111],[1,33,46777],[1,32,46812],[1,31,46844],[1,30,46928],[1,29,46944],[1,28,46961],[1,27,46978],[1,26,46994],[1,25,47010],[1,24,47028],[1,23,47044],[1,22,47078],[1,21,47128],[1,20,47161],[1,19,47178],[1,18,47194],[1,17,47211],[1,16,47228],[1,15,47244],[1,14,47261],[1,13,47294],[1,12,47312],[1,11,47345],[1,10,47361],[1,9,47377],[1,8,47394],[1,7,47411],[1,6,47428],[1,5,47444],[1,4,47461],[1,3,47478],[1,2,47495],[1,1,47528],[1,2,47994],[1,3,48012],[1,4,48028],[1,5,48044],[1,6,48061],[1,7,48078],[1,8,48094],[1,9,48128],[1,10,48144],[1,11,48160],[1,12,48178],[1,13,48194],[1,14,48211],[1,15,48279],[1,16,48644],[1,17,48678],[1,18,48711],[1,19,49344],[1,18,49594],[1,17,49611],[1,16,49645],[1,15,49662],[1,14,49954],[1,13,50062],[1,14,50195],[1,15,50345],[1,16,50495],[1,17,50662],[1,18,50778],[1,19,50812],[1,20,51728],[1,21,51745],[1,22,51761],[1,23,51996],[1,24,52011],[1,25,52028],[1,26,52045],[1,27,52061],[1,28,52179],[1,29,52195],[1,30,52212],[1,31,52228],[1,32,52244],[1,33,52261],[1,34,52278],[1,33,52680],[1,32,52696],[1,31,52712],[1,30,52728],[1,29,52745],[1,28,52762],[1,27,52778],[1,26,52812],[1,25,52829],[1,24,52845],[1,23,52878],[1,22,52896],[1,21,52928],[1,20,52945],[1,19,52962],[1,18,52978],[1,17,53012],[1,16,53063],[1,15,53279],[1,14,53361],[1,13,53429],[1,12,53462],[1,11,53528],[1,12,53778],[1,13,53795],[1,14,53828],[1,15,53862],[1,16,53961],[1,17,54029]]",,82951,High,yes,yes
c728f423-79ee-471e-9681-2ef06580034f,Male,8,White British,chocolate,yes,28/05/2018,28/05/2018,359250,Middle,NA,2,1,6,5,4,3,4,5,0,present,foil,40,40,Interacted,"=[[4,16,22499],[4,15,22535],[4,14,22703],[4,13,22736],[4,12,22769],[4,11,22803],[4,10,22837],[4,9,22871],[4,8,22907],[4,7,22938],[4,6,22973],[4,5,23008],[4,4,23042],[4,3,23076],[4,2,23404],[4,1,23452],[4,0,23476],[4,1,23922],[4,2,24357],[4,3,24381],[4,4,24406],[4,5,24417],[4,6,24434],[4,7,24459],[4,8,24466],[4,9,24513],[4,10,24538],[4,11,24561],[4,12,24586],[4,13,24604],[4,14,24634],[4,15,24658],[4,16,24677],[4,17,24681],[4,18,24697],[4,19,24718],[4,20,24780],[4,21,25114],[4,22,25127],[4,23,25154],[4,24,25189],[4,25,25224],[4,26,25258],[4,27,25292],[4,28,25325],[4,29,25363],[4,30,25393],[4,29,25760],[4,28,25807],[4,27,25821],[4,26,25837],[4,25,25844],[4,24,25858],[4,23,25875],[4,22,25894],[4,21,25907],[4,20,25924],[4,19,25942],[4,18,25970],[4,17,26013],[4,16,26037],[4,15,26061],[4,14,26080],[4,13,26086],[4,12,26115],[4,11,26140],[4,12,26751],[4,13,26787],[4,14,26805],[4,15,26811],[4,16,26826],[4,17,26843],[4,18,26859],[4,19,26885],[4,20,26908],[4,21,26925],[4,22,26931],[4,23,26943],[4,24,26957],[4,25,26974],[4,26,26991],[4,25,27391],[4,24,27428],[4,23,27441],[4,22,27455],[4,21,27465],[4,20,27476],[4,19,27491],[4,18,27507],[4,17,27525],[4,18,27585],[4,19,27597],[4,20,27609],[4,21,27626],[4,22,27642],[4,23,27659],[4,24,27676],[4,25,27693],[4,26,27709],[4,25,27741],[4,24,27764],[4,23,27778],[4,22,27791],[4,21,27804],[4,20,27819],[4,19,27825],[4,18,27841],[4,17,27857],[4,16,27874],[4,15,27891],[4,14,27907],[4,13,27925],[4,14,27981],[4,15,28006],[4,16,28018],[4,17,28035],[4,18,28042],[4,19,28070],[4,18,28126],[4,17,28150],[4,18,29526],[4,19,29562],[4,20,29586],[4,21,29604],[4,22,29610],[4,23,29626],[4,24,29643],[4,25,29660],[4,26,29676],[4,27,29695],[4,28,29709],[4,29,29726],[4,30,29743],[4,31,29759],[4,32,29775],[4,33,29814],[4,34,29851],[4,33,30211],[4,32,30237],[4,31,30250],[4,30,30273],[4,29,30297],[4,28,30310],[4,27,30333],[4,26,30346],[4,25,30357],[4,24,30374],[4,23,30391],[4,22,30407],[4,21,30424],[4,20,30443],[4,19,30459],[4,18,30476],[4,17,30493],[4,16,30509],[4,15,30532],[4,14,30557],[4,13,30563],[4,12,30597],[4,11,30634],[4,10,30682],[4,9,30706],[4,8,30742],[4,7,30766],[4,6,30779],[4,5,30792],[4,4,30814],[4,3,30831],[4,2,30841],[4,1,30868],[4,0,30875],[4,1,31322],[4,2,32612],[4,3,32624],[4,4,32642],[4,5,32660],[4,6,32683],[4,7,32695],[4,8,32710],[4,9,32732],[4,10,32758],[4,11,32770],[4,12,32792],[4,11,33055],[4,10,33081],[4,9,33104],[4,8,33117],[4,7,33129],[4,6,33142],[4,5,33157],[4,6,33238],[4,7,33252],[4,8,33267],[4,9,33275],[4,10,33293],[4,11,33309],[4,12,33326],[4,13,33343],[4,12,33359],[4,11,33376],[4,10,33392],[4,9,33409],[4,8,33426],[4,7,33443],[4,6,33459],[4,5,33479],[4,6,33527],[4,7,33540],[4,8,33554],[4,9,33570],[4,10,33576],[4,11,33591],[4,10,33636],[4,9,33648],[4,8,33660],[4,7,33674],[4,6,33691],[4,5,33708],[4,4,33724],[4,3,33745],[4,4,33912],[4,5,33948],[4,6,33985],[4,7,38274],[4,8,38298],[4,9,38316],[4,10,38326],[4,11,38342],[4,12,38359],[4,13,38376],[4,14,38392],[4,15,38409],[4,16,38426],[4,17,38457],[4,16,38575],[4,15,38623],[4,14,38659],[4,13,38719],[4,12,38756],[4,11,38791],[4,10,38816],[4,9,38835],[4,8,38856],[4,7,38876],[4,6,38899],[4,5,38924],[4,4,38971],[4,3,39019],[4,2,39044],[4,1,39092],[4,0,39110],[4,1,39575],[4,2,39599],[4,3,39636],[4,4,39660],[4,5,39672],[4,6,39691],[4,7,39709],[4,8,39725],[4,9,39743],[4,10,39759],[4,11,39776],[4,12,39791],[4,13,39807],[4,14,39824],[4,15,39841],[4,16,39857],[4,17,39875],[4,18,39890],[4,19,39907],[4,20,39925],[4,21,39941],[4,22,39958],[4,23,39975],[4,24,39991],[4,25,40008],[4,26,41435],[4,27,41484],[4,28,41616],[4,27,41724],[4,26,41743],[4,25,41762],[4,24,41772],[4,23,41797],[4,22,41815],[4,21,41841],[4,20,41844],[4,19,41860],[4,18,41876],[4,17,41892],[4,16,41909],[4,15,41935],[4,14,41945],[4,13,41961],[4,12,41977],[4,11,41993],[4,10,42007],[4,9,42049],[4,10,42351],[4,11,42368],[4,12,42376],[4,13,42390],[4,14,42407],[4,15,42424],[4,16,42440],[4,17,42457],[4,18,42473],[4,19,42497],[4,20,42544],[4,21,42593],[4,22,42617],[4,23,42641],[4,24,42665],[4,23,42713],[4,22,42731],[4,21,42741],[4,20,42759],[4,19,42775],[4,18,42792],[4,17,42809],[4,16,42833],[4,15,42859],[4,14,42892],[4,15,43037],[4,16,43062],[4,17,43097],[4,18,43122],[4,19,43157],[4,20,43181]]",,43181,High,yes,yes
67124644-6b55-4f00-b340-bd4c375b3c3c,Male,7,White British,toys,no,31/05/2018,31/05/2018,302919,Middle,NA,5,3,1,2,6,4,5,6,0,present,foil,20,20,Interacted,"=[[5,18,11232],[5,19,11257],[5,20,11291],[5,21,11324],[5,22,11340],[5,23,11373],[5,24,11406],[5,25,11424],[5,26,11440],[5,27,11456],[5,28,11492],[5,29,11523],[5,30,11556],[5,31,11607],[5,32,11640],[5,33,11673],[5,34,11708],[5,33,12649],[5,32,12728],[5,31,12912],[5,30,12973],[5,29,13006],[5,28,13040],[5,27,13072],[5,26,13091],[5,25,13124],[5,24,13158],[5,23,13191],[5,22,13240],[5,21,13256],[5,20,13290],[5,19,13323],[5,18,13358],[5,17,13374],[5,16,13392],[5,15,13409],[5,14,13424],[5,13,13441],[5,12,13457],[5,11,13474],[5,10,13489],[5,9,13509],[5,8,13522],[5,7,13539],[5,6,13557],[5,5,13573],[5,4,13607],[5,3,13622],[5,2,13656],[5,1,13673],[5,0,13722],[5,1,14256],[5,2,14307],[5,3,14340],[5,4,14390],[5,5,14406],[5,6,14425],[5,7,14456],[5,8,14490],[5,9,14523],[5,10,14556],[5,11,14590],[5,12,14623],[5,13,14640],[5,14,14673],[5,15,14707],[5,16,14740],[5,17,14823],[5,18,14872],[5,19,14922],[5,20,14955],[5,21,14989],[5,22,15023],[5,23,15040],[5,24,15073],[5,25,15105],[5,26,15123],[5,27,15157],[5,28,15174],[5,29,15189],[5,30,15224],[5,31,15256],[5,32,15275],[5,33,15323],[5,34,15356],[5,33,15939],[5,32,15973],[5,31,16006],[5,30,16040],[5,29,16073],[5,28,16089],[5,27,16108],[5,26,16125],[5,25,16140],[5,24,16156],[5,23,16173],[5,22,16189],[5,21,16206],[5,20,16222],[5,19,16241],[5,18,16273],[5,17,16755],[5,16,16790],[5,15,16823],[5,14,16856],[5,15,18048],[5,16,18208],[5,17,18289],[5,18,18344]]",,18344,Low,yes,yes
060f3f64-3492-4246-b432-a57b22059375,Female,9,White British,toys,yes,31/05/2018,31/05/2018,323320,Middle,NA,2,3,1,6,4,5,4,6,1,present,perpetrator,0,40,Interacted,"=[[1,18,7736],[1,19,7779],[1,20,7796],[1,21,7812],[1,22,7829],[1,23,7846],[1,24,8012],[1,25,8062],[1,26,8112],[1,27,8129],[1,28,8145],[1,29,8162],[1,30,8181],[1,31,8211],[1,32,8246],[1,33,8262],[1,34,8278],[1,33,9028],[1,32,9064],[1,31,9094],[1,30,9152],[1,29,9195],[1,28,9228],[1,27,9247],[1,26,9294],[1,25,9329],[1,24,9378],[1,23,9412],[1,22,9445],[1,21,9462],[1,20,9496],[1,19,9984],[1,18,10192],[1,17,10229],[1,16,10244],[1,15,10279],[1,14,10328],[1,13,10416],[1,12,10446],[1,11,10479],[1,10,10512],[1,9,10545],[1,8,10585],[1,7,10628],[1,6,10662],[1,5,10694],[1,4,10729],[1,3,10777],[1,2,10813],[1,1,10828],[1,0,10862],[1,1,11329],[1,2,11361],[1,3,11394],[1,4,11412],[1,5,11428],[1,6,11445],[1,7,11462],[1,8,11480],[1,9,11511],[1,10,11577],[1,11,11611],[1,12,11628],[1,13,11661],[1,14,11678],[1,15,11696],[1,16,11737],[1,17,11812],[1,18,11844],[1,19,11877],[1,20,11911],[1,21,11944],[1,22,11978],[1,23,12028],[1,24,12061],[1,25,12112],[1,26,12129],[1,27,12177],[1,28,12245],[1,29,12295],[1,30,12327],[1,31,12714],[1,30,21352],[1,29,21393],[1,28,21426],[1,27,21459],[1,26,21476],[1,25,21510],[1,24,21560],[1,23,21610],[1,22,21676],[1,21,21742],[1,20,21776],[1,19,21810],[1,18,21859],[1,17,21913],[1,16,22080]]",,22080,Low,yes,yes
e8ff0d1d-4202-4adc-9907-e3aef603c044,Female,7,White British,toys,yes,31/05/2018,31/05/2018,327064,Middle,NA,3,4,6,1,5,2,3,6,1,present,perpetrator,20,40,Interacted,"=[[1,16,7742],[1,15,7786],[1,14,7837],[1,13,7870],[1,12,7904],[1,11,7936],[1,10,7970],[1,9,8003],[1,8,8036],[1,7,8077],[1,6,8157],[2,5,15129],[2,4,15187],[2,3,15221],[2,2,15271],[2,3,17187],[3,2,18489],[3,1,18577],[3,0,18621],[4,1,31120],[4,2,31185],[4,3,31235],[4,4,31280],[4,5,31336],[4,6,31369],[4,7,31385],[4,8,31435],[4,9,31468],[4,10,31519],[4,11,31568],[4,12,31624],[4,13,31697],[4,14,31736],[4,15,31768],[4,16,31833],[4,17,31901],[4,18,31968],[4,19,32036]]",,76001,High,yes,yes
f75c580c-8d7a-477b-abdc-d363e76065ba,Male,7,White British,toys,no,31/05/2018,31/05/2018,279032,Middle,NA,4,2,5,1,3,6,,absent,1,absent,reject,20,40,Interacted,"=[[1,16,5514],[1,15,5546],[1,14,5563],[1,13,5580],[1,12,5595],[1,11,5612],[1,10,5778],[1,9,5812],[1,8,5831],[1,7,5848],[1,6,5861],[1,5,5881],[1,4,5896],[1,3,5911],[1,2,5928],[1,1,5945],[1,0,5961],[1,1,6511],[1,2,6530],[1,3,6545],[1,4,6562],[1,5,6595],[1,6,6613],[1,7,6644],[1,8,6662],[1,9,6678],[1,10,6696],[1,11,6712],[1,12,6728],[1,13,6746],[1,14,6761],[1,15,6778],[1,16,6795],[1,17,6811],[1,18,6827],[1,19,6845],[1,20,6862],[1,21,6880],[1,22,6897],[1,23,6915],[1,24,6928],[1,25,6945],[1,26,6961],[1,27,6978],[1,28,6995],[1,29,7014],[1,30,7027],[1,31,7044],[1,32,7062],[1,33,7078],[1,34,7094],[1,33,7494],[1,32,7512],[1,31,7528],[1,30,7546],[1,29,7563],[1,28,7595],[1,27,7628],[1,26,7714],[1,25,7746],[1,24,7763],[1,23,7795],[1,22,7811],[1,21,7846],[1,20,7898],[1,21,8463],[1,22,8480],[1,23,8495],[1,24,8511],[1,25,8528],[1,26,8544],[1,27,8562],[1,28,8579],[1,29,8611],[1,28,9098],[1,27,9210],[1,26,9244],[1,25,9277],[1,24,9311],[1,23,9345],[1,22,9378],[1,21,9461],[1,20,9511],[1,19,9529],[1,18,9546],[1,17,9562],[1,16,9578],[1,15,9594],[1,14,9613],[1,13,9645],[1,12,9661],[1,11,9678],[1,10,9697],[1,9,9711],[1,8,9729],[1,7,9744],[1,6,9761],[1,5,9778],[1,4,9794],[1,3,9810],[1,2,9827],[1,1,9846],[1,0,9862],[1,1,10693],[1,2,10710],[1,3,10727],[1,4,10744],[1,5,10778],[1,6,10866],[1,7,10911],[1,8,10943],[1,9,10977],[1,10,11011],[1,11,11044],[1,12,11178],[1,13,11228],[1,14,11261],[1,15,11293],[1,16,11515],[1,17,11560],[1,18,11578],[1,19,11593],[1,20,11611],[1,21,11643],[1,22,11698],[1,23,11844],[1,24,11878],[1,25,11911],[1,26,11927],[1,25,12226],[1,24,12244],[1,23,12263],[1,22,12277],[1,21,12294],[1,20,12310],[1,19,12329],[1,18,12346],[1,17,12360],[1,16,12379],[1,15,12394]]",,12394,Low,yes,yes
57805bb8-d980-4e97-9258-12293a75a109,Male,8,White British,toys,no,31/05/2018,31/05/2018,272091,Middle,NA,4,3,6,1,5,2,,absent,1,absent,reject,20,30,Interacted,"=[[1,16,6873],[1,15,6890],[1,14,6907],[1,13,6923],[1,12,6941],[1,11,6957],[1,10,6974],[1,9,6991],[1,8,7024],[1,7,7377],[1,6,7391],[1,5,7407],[1,4,7425],[1,3,7441],[1,2,7457],[1,1,7474],[1,0,7492],[1,1,7908],[1,2,7975],[1,3,8008],[1,4,8040],[1,5,8074],[1,6,8108],[1,7,8141],[1,8,8174],[1,9,8208],[1,10,8241],[1,11,8258],[1,12,8273],[1,13,8290],[1,14,8307],[1,15,8324],[1,16,8340],[1,17,8357],[1,18,8390],[1,19,8408],[1,20,8441],[1,21,8458],[1,22,8474],[1,23,8492],[1,24,8524],[1,25,8541],[1,26,8559],[1,27,8591],[1,28,8609],[1,29,8625],[1,30,8658],[1,31,8693],[1,32,8775],[1,33,8841],[1,34,9024],[1,33,9325],[1,32,9425],[1,31,9508],[1,30,9540],[1,29,9609],[1,28,10765],[1,27,10825],[1,26,10892],[1,25,10925],[1,24,10974],[1,23,11025],[1,22,11042],[1,21,11058],[1,20,11074],[1,19,11091],[1,18,11107],[1,17,11141],[1,16,11230],[1,17,11608],[1,18,11658],[1,19,11691],[1,20,11757],[1,21,11792],[1,20,12058],[1,19,12141],[1,18,12327],[1,17,12527],[1,16,15724],[1,15,15792],[1,14,15842],[1,13,15908],[1,12,15959],[1,11,16010],[1,10,16058],[1,9,16109],[1,8,16175],[1,7,16242],[1,6,16308],[1,5,16358],[1,4,16442],[1,3,16559],[1,4,16741],[1,5,16759],[1,6,16775],[1,7,16792],[1,8,16825],[1,9,16843],[1,10,16859],[1,11,16875],[1,12,16892],[1,13,16909],[1,14,16925],[1,15,16942],[1,16,16979],[1,17,17009],[1,18,17042],[1,19,17076]]",,17076,Low,yes,yes
761e93e4-34d1-406f-ad57-5a4f2b232485,Male,7,White British,toys,no,31/05/2018,31/05/2018,286084,Middle,NA,1,3,4,6,2,5,4,6,0,present,foil,20,40,Interacted,"=[[4,18,13570],[4,19,13586],[4,20,13604],[4,21,13620],[4,22,13637],[4,23,13654],[4,24,13670],[4,25,13687],[4,26,13705],[4,27,13720],[4,28,13754],[4,29,13787],[4,30,13821],[4,31,13837],[4,32,13871],[4,33,13904],[4,34,13921],[4,33,14238],[4,32,14255],[4,31,14271],[4,30,14288],[4,29,14304],[4,28,14321],[4,27,14337],[4,26,14354],[4,25,14370],[4,24,14388],[4,23,14404],[4,22,14437],[4,21,14488],[4,20,14521],[4,19,14655],[4,18,14754],[4,17,14805],[4,16,14837],[4,15,14871],[4,14,14905],[4,13,14938],[4,12,15005],[4,13,15137],[4,14,15154],[4,15,15171],[4,16,15188],[4,17,15204],[4,18,15221],[4,19,15237],[4,20,15254],[4,21,15272],[4,22,15288],[4,23,15304],[4,24,15338],[4,25,15421],[4,26,15472],[4,27,15505],[4,28,15538],[4,29,15570],[4,30,15604],[4,31,15623],[4,32,15637],[4,33,15654],[4,34,15671],[4,33,16089],[4,34,16322],[4,33,16628],[4,32,16755],[4,31,16788],[4,30,16838],[4,29,16888],[4,28,16921],[4,27,16971],[4,26,17004],[4,25,17038],[4,24,17071],[4,23,17105],[4,22,17138],[4,21,17172],[4,20,17188],[4,19,17205],[4,18,17220],[4,17,17255],[4,16,17287],[4,15,17321],[4,14,17371],[4,13,17387],[4,12,17405],[4,11,17438],[4,10,17489],[4,9,17521],[4,8,17588],[4,9,17756],[4,10,17772],[4,11,17788],[4,12,17805],[4,13,17822],[4,14,17838],[4,15,17855],[4,16,17888],[4,17,17921],[4,18,17939],[4,19,17972],[4,20,18020],[4,21,18071],[4,22,18104],[4,23,18138],[4,24,18189],[4,25,18221],[4,26,18238],[4,27,18271],[4,28,18304],[4,27,18438],[4,26,18455],[4,25,18471],[4,24,18488],[4,23,18505],[4,22,18521],[4,21,18539],[4,20,18555],[4,19,18571],[4,18,18605],[4,19,18670],[4,20,18688],[4,21,18704],[4,22,18722],[4,23,18738],[4,22,18846]]",,18846,Low,yes,yes
fad69db2-80c3-4f04-84b2-565cdf6ae27b,Female,7,White British,chocolate,yes,31/05/2018,31/05/2018,288230,Middle,NA,3,2,5,1,4,6,,absent,0,absent,reject,20,20,Interacted,"=[[4,18,13268],[4,19,13293],[4,20,13309],[4,21,13327],[4,22,13344],[4,23,13360],[4,24,13377],[4,25,13394],[4,26,13411],[4,27,13428],[4,28,13461],[4,29,13477],[4,30,13527],[4,29,13580],[4,28,13593],[4,27,13611],[4,26,13627],[4,25,13644],[4,24,13660],[4,23,13678],[4,22,13694],[4,21,13727],[4,20,13743],[4,19,13760],[4,18,13777],[4,17,13793],[4,16,13811],[4,15,13827],[4,14,13860],[4,13,13894],[4,14,14012],[4,15,14028],[4,14,16445],[4,13,16460],[4,12,16477],[4,11,16494],[4,10,16510],[4,9,16527],[4,8,16544],[4,7,16561],[4,6,16577],[4,5,16594],[4,4,16611],[4,3,16627],[4,2,16644],[4,1,16661],[4,0,16677],[4,1,16978],[4,2,16995],[4,3,17011],[4,4,17027],[4,5,17044],[4,6,17060],[4,7,17077],[4,8,17094],[4,9,17111],[4,10,17245],[4,11,17294],[4,12,17389],[4,13,17412],[4,14,17427],[4,15,17444],[4,16,17461],[4,17,17477],[4,18,17494],[4,19,17545],[4,20,17562],[4,21,17577],[4,22,17595],[4,23,17628],[4,24,17644],[4,25,17678],[4,26,17728],[4,27,17761],[4,28,17794],[4,29,17844],[4,30,17877],[4,31,17894],[4,32,17927],[4,33,17944],[4,32,19885],[4,31,19894],[4,30,19911],[4,29,19927],[4,28,19944],[4,27,19960],[4,26,19978],[4,25,20011]]",,20011,Low,yes,yes
