ParticipantId,Experiment,LineupType,time_allfaces,above_median,,,,,
04f87326-7c5b-47ff-885c-bdc922e91644,Exp2,independent_simultaneous,184726,TRUE,,,,,
050cbba3-a616-414d-a42d-97ad3b44788d,Exp2,independent_simultaneous,56796,FALSE,,,,,
0510a69d-ee9d-4391-a5ae-d6fcb826b3f5,Exp2,independent_simultaneous,398575,TRUE,,,,,
0556e154-fa1b-4240-b02b-2b1b9091c324,Exp2,independent_simultaneous,64453,TRUE,,,,,
056e539e-80f4-4668-908b-62b502d11d05,Exp2,independent_simultaneous,16050,FALSE,,,,,
057a3f01-fc4e-4eb7-8c53-0df979a921f4,Exp2,independent_simultaneous,53441,FALSE,,,,,
057c3cdf-c7d0-4c5f-be83-6d502df60c16,Exp2,independent_simultaneous,40918,FALSE,,,,,
05b15c65-3e3e-499e-b6c0-a696e201340d,Exp2,independent_simultaneous,59466,FALSE,,,,,
05c88db7-849d-4f9f-919f-76647c2060d3,Exp2,independent_simultaneous,88458,TRUE,,,,,
05d4f1e1-9e33-48d3-bdf1-fa6c392e6c8b,Exp2,independent_simultaneous,94982,TRUE,,,,,
0613a309-a187-4372-9d9b-3c4bbaddb7e5,Exp2,independent_simultaneous,65474,TRUE,,,,,
06358693-3562-40ea-8397-25dcbb184410,Exp2,independent_simultaneous,122384,TRUE,,,,,
0649bc4a-d7f0-4507-89d0-c5780dfd3d78,Exp2,independent_simultaneous,149041,TRUE,,,,,
065cac7b-1d48-401c-8fba-e001ad9ee5e5,Exp2,independent_simultaneous,55529,FALSE,,,,,
066ebf2f-b1d4-4cdd-a7a5-03ce54d29840,Exp2,independent_simultaneous,80286,TRUE,,,,,
068a30bd-95bc-4a75-9349-8414d38a5324,Exp2,independent_simultaneous,58845,FALSE,,,,,
06c10ea6-f113-4771-a08f-551c88cca8f2,Exp2,independent_simultaneous,96335,TRUE,,,,,
06cb161b-0db3-4131-b07b-5c40243349ae,Exp2,independent_simultaneous,28779,FALSE,,,,,
06dfaf7c-9b52-4017-9e1c-a8d89e4721df,Exp2,independent_simultaneous,185857,TRUE,,,,,
06ea0f21-daf7-4bc4-b146-95d570c0b105,Exp2,independent_simultaneous,74979,TRUE,,,,,
06ea440e-cee6-4900-96a8-dda4622a7e56,Exp2,independent_simultaneous,106880,TRUE,,,,,
0716442c-a322-4f03-8182-02180900c76b,Exp2,independent_simultaneous,67345,TRUE,,,,,
071801c8-8e74-4a92-a262-ca3d3a6fcd9a,Exp2,independent_simultaneous,46504,FALSE,,,,,
0725281a-2708-4a22-9887-c3d12366822c,Exp2,independent_simultaneous,601075,TRUE,,,,,
0782d7b7-5b06-4ab7-a847-58f55a7b43c1,Exp2,independent_simultaneous,48577,FALSE,,,,,
079f13fb-d276-4afc-aed4-68669b9d3728,Exp2,independent_simultaneous,85979,TRUE,,,,,
07b497bc-1a19-4edc-be24-a0d25d2d41ec,Exp2,independent_simultaneous,52703,FALSE,,,,,
07e38ad2-4c02-4557-8f5b-bb65cbcdbeef,Exp2,independent_simultaneous,99560,TRUE,,,,,
07ff71a1-591b-494a-9e88-7e16edb6373c,Exp2,independent_simultaneous,98464,TRUE,,,,,
