ExperimentId,ParticipantId,SexId,Age,EthnicityId,StartDate,EndDate,TrialNumber,"Approximately what percentage of the students in the high school you attended were ""South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan )"" / ""White""?","How many ""South Asian"" / ""White"") friends did you have in High School?","Approximately what percentage of the people in the neighborhood in which you grew up were ""South Asian"" / ""White""","In an average week's time, approximately how many ""South Asian"" / ""White"" people do you have conversations with?","In your area, how many ""South Asians"" / ""Whites"" do you know on a first name basis who also know you on a first name basis?","Of your nine closest friends, how many are ""South Asian"" / ""White""","How many times have you gone out with or dated a ""South Asian"" / ""White"") person?","Approximately what percentage of the people that you view / interact with on social media are ""South Asian"" / ""White""","Approximately what percentage of the people that you watch in TV programmes / movies are ""South Asian"" / ""White""","The crime video played smoothly (played all the way through, did not buffer etc.)",The sequence of faces was displayed clearly (loaded promptly etc.),"MyRace (""How would you describe YOUR OWN race / ethnicity?"")",ParticipantPerpetrator present (yes/no),Face picked,Confidence,Face1.jpeg,Face2.jpeg,Face3.jpeg,Face4.jpeg,Face5.jpeg,Face6.jpeg,AttentionCheck,Face (.jpeg) picked,Correct,SaidAbsentorPresent,TargetPresent,IDResponse,CrimeWatched,PerpRace,SubjectRace,OwnRace,LineupType,AttentionCheckCorrect,CorrectSubjectRace,Include
287,282471d7-5fa6-4b4d-b099-cdde6cb13b66,F,19,south_asian,27/04/2018,27/04/2018,2,0,1,1,3,0,0,0,3,9,5,5,Asian Pakistani,yes,2,80,2,6,5,4,1,3,drinkspiking,6,1,present,yes,perpetrator,drinkspiking,south_asian,south_asian,ownRace,interactive,yes,yes,yes
287,282471d7-5fa6-4b4d-b099-cdde6cb13b66,F,19,south_asian,27/04/2018,27/04/2018,3,0,1,1,3,0,0,0,3,9,5,5,Asian Pakistani,yes,4,100,1,5,2,6,3,4,burglary,6,1,present,yes,perpetrator,burglary,south_asian,south_asian,ownRace,interactive,yes,yes,yes
287,282471d7-5fa6-4b4d-b099-cdde6cb13b66,F,19,south_asian,27/04/2018,27/04/2018,4,0,1,1,3,0,0,0,3,9,5,5,Asian Pakistani,no,,80,4,3,2,1,5,6,laptop,absent,1,absent,no,reject,laptop,south_asian,south_asian,ownRace,interactive,yes,yes,yes
287,282471d7-5fa6-4b4d-b099-cdde6cb13b66,F,19,south_asian,27/04/2018,27/04/2018,5,0,1,1,3,0,0,0,3,9,5,5,Asian Pakistani,yes,5,70,6,3,5,1,2,4,car,2,0,present,no,foil,car,south_asian,south_asian,ownRace,interactive,yes,yes,yes
287,282471d7-5fa6-4b4d-b099-cdde6cb13b66,F,19,south_asian,27/04/2018,27/04/2018,6,0,1,1,3,0,0,0,3,9,5,5,Asian Pakistani,no,,70,5,3,4,2,6,1,laptop,absent,1,absent,no,reject,laptop,caucasian,south_asian,otherRace,interactive,yes,yes,yes
287,282471d7-5fa6-4b4d-b099-cdde6cb13b66,F,19,south_asian,27/04/2018,27/04/2018,7,0,1,1,3,0,0,0,3,9,5,5,Asian Pakistani,yes,2,90,1,6,4,5,2,3,burglary,6,1,present,yes,perpetrator,burglary,caucasian,south_asian,otherRace,interactive,yes,yes,yes
287,282471d7-5fa6-4b4d-b099-cdde6cb13b66,F,19,south_asian,27/04/2018,27/04/2018,8,0,1,1,3,0,0,0,3,9,5,5,Asian Pakistani,no,,70,5,4,2,3,6,1,car,absent,1,absent,no,reject,car,caucasian,south_asian,otherRace,interactive,yes,yes,yes
288,973f0e27-1020-481a-9f4d-880a70eccf54,F,19,south_asian,27/04/2018,27/04/2018,1,8,5,8,1,9,1,0,1,0,5,5,Asian Bangladeshi,no,,20,1,2,3,6,4,5,burglary,absent,1,absent,no,reject,burglary,south_asian,south_asian,ownRace,static,yes,yes,yes
288,973f0e27-1020-481a-9f4d-880a70eccf54,F,19,south_asian,27/04/2018,27/04/2018,2,8,5,8,1,9,1,0,1,0,5,5,Asian Bangladeshi,yes,6,80,2,4,3,5,1,6,laptop,6,1,present,yes,perpetrator,laptop,south_asian,south_asian,ownRace,static,yes,yes,yes
288,973f0e27-1020-481a-9f4d-880a70eccf54,F,19,south_asian,27/04/2018,27/04/2018,3,8,5,8,1,9,1,0,1,0,5,5,Asian Bangladeshi,yes,5,70,6,1,3,4,5,2,drinkspiking,5,0,present,no,foil,drinkspiking,caucasian,south_asian,otherRace,static,yes,yes,yes
288,973f0e27-1020-481a-9f4d-880a70eccf54,F,19,south_asian,27/04/2018,27/04/2018,4,8,5,8,1,9,1,0,1,0,5,5,Asian Bangladeshi,no,,50,4,5,3,2,1,6,car,absent,0,absent,yes,reject,car,caucasian,south_asian,otherRace,static,yes,yes,yes
288,973f0e27-1020-481a-9f4d-880a70eccf54,F,19,south_asian,27/04/2018,27/04/2018,5,8,5,8,1,9,1,0,1,0,5,5,Asian Bangladeshi,no,,60,6,5,3,4,2,1,drinkspiking,absent,1,absent,no,reject,drinkspiking,south_asian,south_asian,ownRace,static,yes,yes,yes
288,973f0e27-1020-481a-9f4d-880a70eccf54,F,19,south_asian,27/04/2018,27/04/2018,6,8,5,8,1,9,1,0,1,0,5,5,Asian Bangladeshi,yes,4,30,3,5,4,6,2,1,laptop,6,1,present,yes,perpetrator,laptop,caucasian,south_asian,otherRace,static,yes,yes,yes
288,973f0e27-1020-481a-9f4d-880a70eccf54,F,19,south_asian,27/04/2018,27/04/2018,7,8,5,8,1,9,1,0,1,0,5,5,Asian Bangladeshi,yes,5,0,5,4,1,3,6,2,car,6,1,present,yes,perpetrator,car,south_asian,south_asian,ownRace,static,yes,yes,yes
288,973f0e27-1020-481a-9f4d-880a70eccf54,F,19,south_asian,27/04/2018,27/04/2018,8,8,5,8,1,9,1,0,1,0,5,5,Asian Bangladeshi,no,,0,1,5,2,3,6,4,burglary,absent,1,absent,no,reject,burglary,caucasian,south_asian,otherRace,static,yes,yes,yes
290,f91e2010-01aa-4c8a-a008-16231b9b229a,F,18,south_asian,27/04/2018,27/04/2018,1,2,3,1,3,4,3,3,6,9,5,5,White British,yes,3,70,2,1,6,3,4,5,drinkspiking,6,1,present,yes,perpetrator,drinkspiking,caucasian,south_asian,otherRace,interactive,yes,yes,yes
290,f91e2010-01aa-4c8a-a008-16231b9b229a,F,18,south_asian,27/04/2018,27/04/2018,2,2,3,1,3,4,3,3,6,9,5,5,White British,yes,5,90,5,4,2,3,6,1,car,6,1,present,yes,perpetrator,car,caucasian,south_asian,otherRace,interactive,yes,yes,yes
290,f91e2010-01aa-4c8a-a008-16231b9b229a,F,18,south_asian,27/04/2018,27/04/2018,3,2,3,1,3,4,3,3,6,9,5,5,White British,yes,6,80,4,1,3,2,5,6,drinkspiking,6,1,present,yes,perpetrator,drinkspiking,south_asian,south_asian,ownRace,interactive,yes,yes,yes
290,f91e2010-01aa-4c8a-a008-16231b9b229a,F,18,south_asian,27/04/2018,27/04/2018,4,2,3,1,3,4,3,3,6,9,5,5,White British,yes,3,50,4,5,3,6,2,1,laptop,3,0,present,no,foil,laptop,south_asian,south_asian,ownRace,interactive,yes,yes,yes
290,f91e2010-01aa-4c8a-a008-16231b9b229a,F,18,south_asian,27/04/2018,27/04/2018,5,2,3,1,3,4,3,3,6,9,5,5,White British,no,,70,6,3,4,1,2,5,burglary,absent,1,absent,no,reject,burglary,south_asian,south_asian,ownRace,interactive,yes,yes,yes
290,f91e2010-01aa-4c8a-a008-16231b9b229a,F,18,south_asian,27/04/2018,27/04/2018,6,2,3,1,3,4,3,3,6,9,5,5,White British,yes,3,90,4,3,6,2,1,5,car,6,1,present,yes,perpetrator,car,south_asian,south_asian,ownRace,interactive,yes,yes,yes
290,f91e2010-01aa-4c8a-a008-16231b9b229a,F,18,south_asian,27/04/2018,27/04/2018,7,2,3,1,3,4,3,3,6,9,5,5,White British,no,,40,2,5,3,4,6,1,laptop,absent,1,absent,no,reject,laptop,caucasian,south_asian,otherRace,interactive,yes,yes,yes
