ExperimentId,ParticipantId,SexId,Age,EthnicityId,StartDate,EndDate,TrialNumber,"Approximately what percentage of the students in the high school you attended were ""South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan )"" / ""White""?","How many ""South Asian"" / ""White"") friends did you have in High School?","Approximately what percentage of the people in the neighborhood in which you grew up were ""South Asian"" / ""White""","In an average week's time, approximately how many ""South Asian"" / ""White"" people do you have conversations with?","In your area, how many ""South Asians"" / ""Whites"" do you know on a first name basis who also know you on a first name basis?","Of your nine closest friends, how many are ""South Asian"" / ""White""","How many times have you gone out with or dated a ""South Asian"" / ""White"") person?","Approximately what percentage of the people that you view / interact with on social media are ""South Asian"" / ""White""","Approximately what percentage of the people that you watch in TV programmes / movies are ""South Asian"" / ""White""","The crime video played smoothly (played all the way through, did not buffer etc.)",The sequence of faces was displayed clearly (loaded promptly etc.),"MyRace (""How would you describe YOUR OWN race / ethnicity?"")",ParticipantPerpetrator present (yes/no),Face picked,Confidence,Face1.jpeg,Face2.jpeg,Face3.jpeg,Face4.jpeg,Face5.jpeg,Face6.jpeg,AttentionCheck,Face (.jpeg) picked,Correct,SaidAbsentorPresent,TargetPresent,IDResponse,CrimeWatched,PerpRace,SubjectRace,OwnRace,LineupType,AttentionCheckCorrect,CorrectSubjectRace,Include
295,3b12fa00-fc5c-44d4-b146-ff8ef9c738e5,F,22,south_asian,14/05/2018,14/05/2018,1,0,0,0,7,0,0,0,0,9,5,5,Asian Pakistani,yes,1,60,4,2,3,1,6,5,laptop,4,0,present,no,foil,laptop,caucasian,south_asian,otherRace,interactive,yes,yes,yes
295,3b12fa00-fc5c-44d4-b146-ff8ef9c738e5,F,22,south_asian,14/05/2018,14/05/2018,2,0,0,0,7,0,0,0,0,9,5,5,Asian Pakistani,no,,80,4,1,6,3,5,2,drinkspiking,absent,1,absent,no,reject,drinkspiking,south_asian,south_asian,ownRace,interactive,yes,yes,yes
295,3b12fa00-fc5c-44d4-b146-ff8ef9c738e5,F,22,south_asian,14/05/2018,14/05/2018,3,0,0,0,7,0,0,0,0,9,5,5,Asian Pakistani,no,,90,1,2,4,5,3,6,laptop,absent,1,absent,no,reject,laptop,south_asian,south_asian,ownRace,interactive,yes,yes,yes
295,3b12fa00-fc5c-44d4-b146-ff8ef9c738e5,F,22,south_asian,14/05/2018,14/05/2018,4,0,0,0,7,0,0,0,0,9,5,5,Asian Pakistani,yes,1,100,6,3,2,1,4,5,burglary,6,1,present,yes,perpetrator,burglary,south_asian,south_asian,ownRace,interactive,yes,yes,yes
295,3b12fa00-fc5c-44d4-b146-ff8ef9c738e5,F,22,south_asian,14/05/2018,14/05/2018,5,0,0,0,7,0,0,0,0,9,5,5,Asian Pakistani,yes,3,80,3,5,6,4,1,2,car,6,1,present,yes,perpetrator,car,south_asian,south_asian,ownRace,interactive,yes,yes,yes
295,3b12fa00-fc5c-44d4-b146-ff8ef9c738e5,F,22,south_asian,14/05/2018,14/05/2018,6,0,0,0,7,0,0,0,0,9,5,5,Asian Pakistani,yes,3,80,5,1,6,3,2,4,burglary,6,1,present,yes,perpetrator,burglary,caucasian,south_asian,otherRace,interactive,yes,yes,yes
295,3b12fa00-fc5c-44d4-b146-ff8ef9c738e5,F,22,south_asian,14/05/2018,14/05/2018,7,0,0,0,7,0,0,0,0,9,5,5,Asian Pakistani,yes,5,100,2,3,5,1,6,4,car,6,1,present,yes,perpetrator,car,caucasian,south_asian,otherRace,interactive,yes,yes,yes
295,3b12fa00-fc5c-44d4-b146-ff8ef9c738e5,F,22,south_asian,14/05/2018,14/05/2018,8,0,0,0,7,0,0,0,0,9,5,5,Asian Pakistani,no,,90,4,1,5,2,6,3,drinkspiking,absent,1,absent,no,reject,drinkspiking,caucasian,south_asian,otherRace,interactive,yes,yes,yes
294,5b68718c-a1c0-4f7e-bf57-95f371bfbda2,F,22,south_asian,14/05/2018,14/05/2018,1,0,0,1,9,0,1,0,5,7,5,5,Mixed White &amp; Asian,yes,6,60,5,4,6,1,2,3,drinkspiking,3,0,present,no,foil,drinkspiking,south_asian,south_asian,ownRace,static,yes,yes,yes
294,5b68718c-a1c0-4f7e-bf57-95f371bfbda2,F,22,south_asian,14/05/2018,14/05/2018,2,0,0,1,9,0,1,0,5,7,5,5,Mixed White &amp; Asian,yes,1,100,6,2,5,1,4,3,burglary,6,1,present,yes,perpetrator,burglary,south_asian,south_asian,ownRace,static,yes,yes,yes
294,5b68718c-a1c0-4f7e-bf57-95f371bfbda2,F,22,south_asian,14/05/2018,14/05/2018,3,0,0,1,9,0,1,0,5,7,5,5,Mixed White &amp; Asian,yes,1,70,6,1,5,4,2,3,car,6,1,present,yes,perpetrator,car,south_asian,south_asian,ownRace,static,yes,yes,yes
294,5b68718c-a1c0-4f7e-bf57-95f371bfbda2,F,22,south_asian,14/05/2018,14/05/2018,4,0,0,1,9,0,1,0,5,7,5,5,Mixed White &amp; Asian,no,,0,5,4,3,2,6,1,laptop,absent,1,absent,no,reject,laptop,caucasian,south_asian,otherRace,static,yes,yes,yes
294,5b68718c-a1c0-4f7e-bf57-95f371bfbda2,F,22,south_asian,14/05/2018,14/05/2018,5,0,0,1,9,0,1,0,5,7,5,5,Mixed White &amp; Asian,yes,3,100,3,5,6,4,1,2,mugging,6,1,present,yes,perpetrator,car,caucasian,south_asian,otherRace,static,no,yes,yes
