ParticipantId,Gender,Age,Race / ethnicity,ParticipantPerpetrator present (yes/no),Face picked,Confidence,My Race,Start Date,Finish Date,"Approximately what percentage of the students in the high school you attended were ""South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan )"" / ""White""?","How many ""South Asian"" / ""White"") friends did you have in High School?","Approximately what percentage of the people in the neighborhood in which you grew up were ""South Asian"" / ""White""","In an average week's time, approximately how many ""South Asian"" / ""White"" people do you have conversations with?","In your area, how many ""South Asians"" / ""Whites"" do you know on a first name basis who also know you on a first name basis?","Of your nine closest friends, how many are ""South Asian"" / ""White""","How many times have you gone out with or dated a ""South Asian"" / ""White"") person?","Approximately what percentage of the people that you view / interact with on social media are ""South Asian"" / ""White""","Approximately what percentage of the people that you watch in TV programmes / movies are ""South Asian"" / ""White""",ContactSum,"The crime video played smoothly (played all the way through, did not buffer etc.)",The sequence of faces was displayed clearly (loaded promptly etc.),AttentionCheck,Face1.jpeg,Face2.jpeg,Face3.jpeg,Face4.jpeg,Face5.jpeg,Face6.jpeg,Face(.jpeg)picked,Correct,SaidAbsentorPresent,IDResponse,CrimeWatched,TargetPresent,PerpRace,SubjectRace,OwnRace,LineupType,CorrectSubjectRace,AttentionCheckCorrect,PlayedSmoothly,FirstComplete,IncludeFinalSample,Recruited from?
8a0f5b9f-0748-40ad-a091-08f9fa757059,Female,27,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,3,80,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4,5,5,car,2,1,5,3,6,4,5,0,present,foil,car,no,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
fc4c9bf9-fb77-470e-a43e-51c151e3afc9,Female,25,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,5,80,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,4,4,mugging,5,4,2,3,6,1,6,0,present,foil,mugging,no,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
f25ee7d8-e035-4956-8a83-f0deee9a35ff,Female,26,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,2,60,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,5,mugging,5,6,2,3,4,1,6,1,present,perpetrator,mugging,yes,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
d46d0537-2968-4602-834d-80d11663bcb5,Female,25,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",no,,90,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,5,car,1,5,4,3,6,2,absent,1,absent,reject,car,no,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
f0a9ac47-0e0f-496c-b802-e64c7a909ef5,Female,36,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,4,70,Asian Indian,10/07/2018,10/07/2018,0.00,0.00,0.00,5.00,9.00,0.00,0.00,0.00,8.00,22,5,5,money,3,2,4,5,6,1,5,0,present,foil,money,no,south_asian,south_asian,ownRace,joint_simultaneous,yes,yes,yes,,yes,CIND
39f9ebeb-5882-48eb-bd5e-6ff4493baeb5,Female,49,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,3,50,Asian Indian,15/07/2018,15/07/2018,4.00,6.00,3.00,9.00,5.00,5.00,0.00,3.00,0.00,35,2,2,money,4,6,3,5,2,1,3,0,present,foil,money,yes,caucasian,south_asian,otherRace,independent_simultaneous,yes,yes,yes,,yes,CIND
cd72904e-0242-4b8f-9148-f396030d1172,Female,26,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,2,90,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2,4,5,mugging,4,2,6,5,3,1,2,0,present,foil,mugging,no,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
e1c97c48-113c-4f3f-a75a-2a2730590562,Female,32,American Indian or Alaska Native,yes,2,90,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,4,money,3,2,5,1,6,4,2,0,present,foil,money,yes,caucasian,ERROR,ERROR,sequential,no,yes,yes,,no,CIND
f8a2abe9-d5c0-4a83-9937-43ce991d2741,Female,28,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,2,80,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4,4,4,money,2,3,5,4,6,1,3,0,present,foil,money,yes,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
52cd02d6-6b09-443f-9436-7295291ae7f3,Female,31,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,3,90,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8,4,5,mugging,3,4,6,1,2,5,6,1,present,perpetrator,mugging,yes,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
